"Representative","State","Amount"
"Jayapal Pramila (D-WA)","Washington","$146"
"Upton Fred (R-MI)","Michigan","$144"
"Kilmer Derek (D-WA)","Washington","$135"
"Perry Scott (R-PA)","Pennsylvania","$134"
"Hutcheson Shannon (D-TX)","Texas","$125"
"Lauf Catalina (R-IL)","Illinois","$125"
"Long Carolyn (D-WA)","Washington","$125"
"Jones Mondaire (D-NY)","New York","$121"
"Davis Moe (D-NC)","North Carolina","$120"
"Grey Bull Lynnette (D-WY)","Wyoming","$120"
"Timmons-Goodson Patricia (D-NC)","North Carolina","$120"
"Garbarino Andrew (R-NY)","New York","$115"
"Bacon Donald John (R-NE)","Nebraska","$109"
"Van Drew Jeff (R-NJ)","New Jersey","$109"
"Tipirneni Hiral (D-AZ)","Arizona","$106"
"Cohn Alan (D-FL)","Florida","$105"
"Harder Josh (D-CA)","California","$101"
"Blair John (D-NM)","New Mexico","$100"
"Caruso-Cabrera Michelle (D-NY)","New York","$100"
"Covert Mike (R-SC)","South Carolina","$100"
"Ferguson Dana (D-MI)","Michigan","$100"
"Loomer Laura (R-FL)","Florida","$100"
"Manning Kathy (D-NC)","North Carolina","$100"
"Ross Deborah (D-NC)","North Carolina","$100"
"Spalding Carla (R-FL)","Florida","$100"
"Watson Lacy (D-WV)","West Virginia","$100"
"Weston John Kael (D-UT)","Utah","$100"
"Carter John (R-TX)","Texas","$94"
"Cisneros Jessica (D-TX)","Texas","$82"
"Parson Rebecca (D-WA)","Washington","$78"
"Spano Ross (R-FL)","Florida","$76"
"Barnette Kathy (R-PA)","Pennsylvania","$75"
"Campa-Najjar Ammar (D-CA)","California","$75"
"Freshour Shannon (D-OH)","Ohio","$75"
"Kahele Kai (D-HI)","Hawaii","$75"
"Ackerman Patricia (D-NV)","Nevada","$70"
"Riggleman Denver (R-VA)","Virginia","$70"
"Buttar Shahid (D-CA)","California","$68"
"Ladjevardian Sima (D-TX)","Texas","$68"
"Grothman Glenn (R-WI)","Wisconsin","$67"
"Hill French (R-AR)","Arkansas","$67"
"Hurd Will (R-TX)","Texas","$67"
"Wright Ron (R-TX)","Texas","$67"
"Afendoulis Lynn (R-MI)","Michigan","$65"
"Bustos Cheri (D-IL)","Illinois","$65"
"Katko John (R-NY)","New York","$60"
"Putzova Eva (D-AZ)","Arizona","$55"
"Tlaib Rashida (D-MI)","Michigan","$54"
"Bowman Jamaal (D-NY)","New York","$51"
"Armitage Chris (D-WA)","Washington","$50"
"Boroughs Adair (D-SC)","South Carolina","$50"
"Donalds Byron (R-FL)","Florida","$50"
"Ellis Kathryn (D-MO)","Missouri","$50"
"Foster Russell (D-TX)","Texas","$50"
"Hale Christopher (D-TN)","Tennessee","$50"
"Jackson Ronny (R-TX)","Texas","$50"
"Lee Barbara (D-CA)","California","$50"
"Lombard Laura (D-KS)","Kansas","$50"
"O'Dell Linda (D-MI)","Michigan","$50"
"Perelman Jennifer (D-FL)","Florida","$50"
"Small Xochitl Torres (D-NM)","New Mexico","$50"
"Gomez Georgette (D-CA)","California","$42"
"Arballo Phil (D-CA)","California","$40"
"Ehr Phil (D-FL)","Florida","$40"
"Hagedorn Jim (R-MN)","Minnesota","$38"
"Pocan Mark (D-WI)","Wisconsin","$36"
"Anderson Robert Jon (D-LA)","Louisiana","$35"
"Collins Joshua (D-WA)","Washington","$33"
"Eastman Kara (D-NE)","Nebraska","$33"
"Smith Christy (D-CA)","California","$33"
"Cohen Ed (D-NV)","Nevada","$30"
"Rashid Qasim (D-VA)","Virginia","$30"
"Cardnell Elisa (D-TX)","Texas","$25"
"Crow Jason (D-CO)","Colorado","$25"
"Farkas Evelyn (D-NY)","New York","$25"
"Makki Amanda (R-FL)","Florida","$25"
"McGuire Barbara (D-AZ)","Arizona","$25"
"Melton-Meaux Antone (D-MN)","Minnesota","$25"
"Nystrom Quinn (D-MN)","Minnesota","$25"
"Olson Kim (D-TX)","Texas","$25"
"Plame Valerie (D-NM)","New Mexico","$25"
"Pressley Ayanna (D-MA)","Massachusetts","$25"
"Sites Jeffrey (D-OH)","Ohio","$25"
"Van Ausdal Kevin (D-GA)","Georgia","$25"
"Washburn Amy (D-WI)","Wisconsin","$25"
"Caldarera Joe (R-NY)","New York","$20"
"Himes Jim (D-CT)","Connecticut","$20"
"McBath Lucy (D-GA)","Georgia","$20"
"Soto Rudy (D-ID)","Idaho","$20"
"Woodsmall Steve (D-NC)","North Carolina","$20"
"Lopez Samelys (D-NY)","New York","$18"
"Ives Jeanne (R-IL)","Illinois","$17"
"Mucarsel-Powell Debbie (D-FL)","Florida","$16"
"Finello Christina (D-PA)","Pennsylvania","$15"
"Green Al (D-TX)","Texas","$15"
"Williams Kathleen (D-MT)","Montana","$15"
"Babin Brian (R-TX)","Texas","$14"
"Wilson Joe (R-SC)","South Carolina","$14"
"Higgins Clay (R-LA)","Louisiana","$13"
"Oberweis Jim (R-IL)","Illinois","$12"
"Salazar Maria (R-FL)","Florida","$12"
"Mitrano Tracy (D-NY)","New York","$11"
"Qualls Kendall (R-MN)","Minnesota","$11"
"Cartwright Matt (D-PA)","Pennsylvania","$10"
"Larsen Mike (D-OH)","Ohio","$10"
"May Liz Marty (R-SD)","South Dakota","$10"
"Mowers Matt (R-NH)","New Hampshire","$10"
"Raths Greg (R-CA)","California","$10"
"Underwood Lauren A (D-IL)","Illinois","$10"
"Wexton Jennifer (D-VA)","Virginia","$10"
"Lewis John (D-GA)","Georgia","$9"
"Fischbach Michelle (R-MN)","Minnesota","$8"
"Denney Audrey (D-CA)","California","$7"
"Guest Michael (R-MS)","Mississippi","$7"
"Imam Donna (D-TX)","Texas","$7"
"DeFazio Peter (D-OR)","Oregon","$6"
"Lo Sia (R-MN)","Minnesota","$6"
"Moulton Seth (D-MA)","Massachusetts","$6"
