"last_name","first_name","name","party","state","member_id","Vote3","Vote4","Vote51","Vote52","Vote6","Vote7","District","Vote_count","Vote_change","Vote_change_dummy","oil_sum","coal_sum","gas_sum","mining_sum","env_sum","alt_en_sum"
"Rice","Kathleen","kathleen rice,kathleen m rice","D","NY","R000602",NA,"+","+",NA,"+","+","NY-04",4,0,0,0,0,0,0,0,0
"Donovan","Daniel M.","daniel m donovan","R","NY","D000625",NA,"-","-","-",NA,NA,"NY-11",3,0,0,0,0,0,0,0,0
"Stefanik","Elise","elise stefanik,elise m stefanik","R","NY","S001196",NA,"+","+","+","+","-","NY-21",5,1,1,0,0,0,0,0,0
"Katko","John","john katko","R","NY","K000386",NA,"+","+","+","+","+","NY-24",5,0,0,303028,0,51184,60,1000,2019
"Walker","Bradley Mark","bradley mark walker","R","NC",NA,NA,"-","-","-","-",NA,"NC-06",4,0,0,0,0,0,0,0,0
"Rouzer","David","david rouzer","R","NC","R000603",NA,"-","-","-","-","-","NC-07",5,0,0,159906,0,12349,2,1700,3500
"Adams","Alma","alma adams,alma s adams","D","NC","A000370",NA,"+","+","+","+","+","NC-12",5,0,0,0,0,0,0,0,0
"Davidson","Warren","warren davidson","R","OH","D000626",NA,"-","-","-","-","-","OH-08",5,0,0,30932,0,525,1002,100,4
"Russell","Steve","steve russell","R","OK","R000604",NA,"-","-","-",NA,NA,"OK-05",3,0,0,266150,0,21500,8000,0,0
"Costello","Ryan","ryan costello,ryan a costello","R","PA","C001106",NA,"-","+","+",NA,NA,"PA-06",3,1,1,0,0,0,0,0,0
"Boyle","Brendan","brendan boyle,brendan f boyle","D","PA","B001296",NA,"+","+","+","+","+","PA-13,PA-13,PA-02",5,0,0,0,0,0,0,0,0
"Ratcliffe","John","john ratcliffe","R","TX","R000601",NA,"-","-","-","-",NA,"TX-04",4,0,0,170550,0,17900,1000,0,0
"Hurd","Will","will hurd","R","TX","H001073",NA,"-","-","-","-",NA,"TX-23",4,0,0,990619,9267,89849,12017,0,6850
"Babin","Brian","brian babin","R","TX","B001291",NA,"-","-","-","-","-","TX-36",5,0,0,248858,0,27900,10114,1000,0
"Love","Mia","mia love,mia b love","R","UT","L000584",NA,"-","-","-",NA,NA,"UT-04",3,0,0,0,0,0,0,0,0
"Brat","David Alan","david alan brat","R","VA",NA,NA,"-","-","-",NA,NA,"VA-07",3,0,0,0,0,0,0,0,0
"Beyer","Donald","donald beyer,donald s beyer","D","VA","B001292",NA,"+","+","+","+","+","VA-08",5,0,0,0,0,0,0,0,0
"Comstock","Barbara","barbara comstock","R","VA","C001105",NA,"-","-","-",NA,NA,"VA-10",3,0,0,240428,19650,60950,31650,500,0
"Newhouse","Dan","dan newhouse","R","WA","N000189",NA,"-","-","-","-","-","WA-04",5,0,0,63210,4000,8450,11000,2250,250
"Mooney","Alex","alex mooney","R","WV",NA,NA,"-","-","-","-","-","WV-02",5,0,0,0,0,0,0,0,0
"Jenkins","Evan","evan jenkins,evan h jenkins","R","WV","J000297",NA,"-","-","-",NA,NA,"WV-03",3,0,0,0,0,0,0,0,0
"Grothman","Glenn","glenn grothman","R","WI","G000576",NA,"-","-","-","-","-","WI-06",5,0,0,95743,67,5599,567,0,1550
"O'Halleran","Tom","tom o halleran","D","AZ","O000171",NA,NA,"+","+","+","+","AZ-01",4,0,0,26272,5000,15150,18024,38769,12792
"Biggs","Andy","andy biggs","R","AZ","B001302",NA,NA,"-","-","-","-","AZ-05",4,0,0,52353,0,13000,24050,0,2800
"Khanna","Ro","ro khanna","D","CA","K000389",NA,NA,"+","+","+","+","CA-17",4,0,0,25697,40,2507,5665,26107,14867
"Panetta","Jimmy","jimmy panetta","D","CA","P000613",NA,NA,"+","+","+","+","CA-20",4,0,0,20500,0,14500,0,26575,3250
"Carbajal","Salud","salud carbajal,salud o carbajal","D","CA","C001112",NA,NA,"+","+","+","+","CA-24",4,0,0,0,0,0,0,0,0
"Gomez","Jimmy","jimmy gomez","D","CA","G000585",NA,NA,"+","+","+","+","CA-34",4,0,0,6258,0,4750,0,19667,24550
"Barragán","Nanette","nanette barrag n","D","CA",NA,NA,NA,"+","+","+","+","CA-44",4,0,0,0,0,0,0,0,0
"Correa","J.","j correa","D","CA",NA,NA,NA,"+","+","+","+","CA-46",4,0,0,0,0,0,0,0,0
"Blunt Rochester","Lisa","lisa blunt rochester","D","DE","B001303",NA,NA,"+","+","+","+","DE-AL",4,0,0,14723,0,8186,0,34063,300
"Gaetz","Matt","matt gaetz","R","FL","G000578",NA,NA,"-",NA,"-","+","FL-01",3,1,1,22810,0,0,0,0,0
"Dunn","Neal","neal dunn,neal p dunn","R","FL","D000628",NA,NA,"-","-","-","-","FL-02",4,0,0,0,0,0,0,0,0
"Rutherford","John","john rutherford,john h rutherford","R","FL","R000609",NA,NA,"-","-","-","-","FL-04",4,0,0,0,0,0,0,0,0
"Lawson","Al","al lawson","D","FL","L000586",NA,NA,NA,"+","+","+","FL-05",3,0,0,500,0,0,0,12337,0
"Murphy","Stephanie","stephanie murphy,stephanie n murphy","D","FL","M001202",NA,NA,"+","+","+","+","FL-07",4,0,0,0,0,0,0,0,0
"Soto","Darren","darren soto","D","FL","S001200",NA,NA,"+","+","+","+","FL-09",4,0,0,750,0,750,5100,16693,2500
"Demings","Val","val demings","D","FL",NA,NA,NA,"+","+","+","+","FL-10",4,0,0,0,0,0,0,0,0
"Crist","Charlie","charlie crist","D","FL","C001111",NA,NA,"+","+","+","+","FL-13",4,0,0,62130,0,0,0,54010,12002
"Mast","Brian","brian mast,brian j mast","R","FL","M001199",NA,NA,"+","+","+","+","FL-18",4,0,0,0,0,0,0,0,0
"Rooney","Francis","francis rooney","R","FL","R000607",NA,NA,NA,"+","+",NA,"FL-19",2,0,0,24300,0,0,0,0,0
"Ferguson","A. Drew","a drew ferguson","R","GA","F000465",NA,NA,"-","-","-","-","GA-03",4,0,0,94490,7800,15035,8800,0,0
"Handel","Karen","karen handel,karen c handel","R","GA","H001078",NA,NA,"-","-",NA,NA,"GA-06",2,0,0,0,0,0,0,0,0
"Krishnamoorthi","Raja","raja krishnamoorthi","D","IL","K000391",NA,NA,"+","+","+","+","IL-08",4,0,0,75924,500,2400,1500,32915,34027
"Banks","Jim","jim banks","R","IN","B001299",NA,NA,"-","-","-","-","IN-03",4,0,0,66040,0,500,4000,58150,30
"Hollingsworth","Trey","trey hollingsworth","R","IN","H001074",NA,NA,"-","-","-","-","IN-09",4,0,0,67950,13000,0,16000,0,27000
"Marshall","Roger","roger marshall","R","KS","M001198",NA,NA,"-","-","-",NA,"KS-01",3,0,0,48082,0,7000,0,0,73693
"Estes","Ron","ron estes","R","KS","E000298",NA,NA,"-","-","-","-","KS-04",4,0,0,233599,0,7000,0,0,84550
"Comer","James","james comer","R","KY","C001108",NA,NA,"-","-","-","-","KY-01",4,0,0,43100,25751,3000,29751,0,11000
"Higgins","Clay","clay higgins","R","LA","H001077",NA,NA,"-","-","-","-","LA-03",4,0,0,115876,0,30150,13,0,0
"Johnson","Mike","mike johnson","R","LA","J000299",NA,NA,"-","-","-",NA,"LA-04",3,0,0,224575,0,23400,16000,8100,0
"Brown","Anthony","anthony brown,anthony g brown","D","MD","B001304",NA,NA,"+","+","+","+","MD-04",4,0,0,0,0,0,0,0,0
"Raskin","Jamie","jamie raskin","D","MD","R000606",NA,NA,"+","+","+","+","MD-08",4,0,0,3,0,0,0,42885,2500
"Bergman","Jack","jack bergman","R","MI","B001301",NA,NA,"-","-","-","-","MI-01",4,0,0,0,0,0,0,0,0
"Mitchell","Paul","paul mitchell","R","MI",NA,NA,NA,"-","-","-",NA,"MI-10",3,0,0,0,0,0,0,0,0
"Lewis","Jason","jason lewis","R","MN","L000587",NA,NA,"-","-",NA,NA,"MN-02",2,0,0,104675,5000,10552,7000,0,2700
"Gianforte","Greg","greg gianforte","R","MT","G000584",NA,NA,"-","-","-",NA,"MT-AL",3,0,0,239151,39425,6622,43425,0,350
"Bacon","Don","don bacon","R","NE","B001298",NA,NA,"-","-","-","-","NE-02",4,0,0,0,0,0,0,0,0
"Rosen","Jacky","jacky rosen","D","NV","R000608",NA,NA,"+","+",NA,NA,"NV-03",2,0,0,2600,0,0,7000,38553,250
"Kihuen","Ruben","ruben kihuen,ruben j kihuen","D","NV","K000390",NA,NA,"+","+",NA,NA,"NV-04",2,0,0,0,0,0,0,0,0
"Gottheimer","Josh","josh gottheimer","D","NJ","G000583",NA,NA,"+","+","+","+","NJ-05",4,0,0,140065,0,12900,1250,109872,28999
"Suozzi","Thomas","thomas suozzi,thomas r suozzi","D","NY","S001201",NA,NA,"+","+","+","+","NY-03",4,0,0,0,0,0,0,0,0
"Espaillat","Adriano","adriano espaillat","D","NY","E000297",NA,NA,"+","+","+","+","NY-13",4,0,0,1000,0,0,0,3552,2500
"Faso","John","john faso,john j faso","R","NY","F000464",NA,NA,"+","+",NA,NA,"NY-19",2,0,0,0,0,0,0,0,0
"Tenney","Claudia","claudia tenney","R","NY","T000478",NA,NA,"-","-",NA,"-","NY-22",3,0,0,220958,5025,18930,5863,4,267
"Budd","Ted","ted budd","R","NC","B001305",NA,NA,"-","-","-","-","NC-13",4,0,0,79569,0,5599,2002,0,0
"Evans","Dwight","dwight evans","D","PA","E000296",NA,NA,"+","+","+","+","PA-02,PA-03",4,0,0,6745,0,0,0,13988,5400
"Fitzpatrick","Brian","brian fitzpatrick,brian k fitzpatrick","R","PA","F000466",NA,NA,"+","+","+","+","PA-08,PA-01",4,0,0,0,0,0,0,0,0
"Smucker","Lloyd","lloyd smucker","R","PA","S001199",NA,NA,"-","-","-","-","PA-16,PA-11",4,0,0,138606,5000,29552,12400,0,1000
"Norman","Ralph","ralph norman","R","SC","N000190",NA,NA,"-","-","-","-","SC-05",4,0,0,42628,0,350,250,0,7300
"Kustoff","David","david kustoff","R","TN","K000392",NA,NA,"-","-","-","-","TN-08",4,0,0,60900,0,0,0,0,1000
"Gonzalez","Vicente","vicente gonzalez","D","TX","G000581",NA,NA,"-","+","+","+","TX-15",4,1,1,200262,0,38500,1000,3625,0
"Arrington","Jodey","jodey arrington,jodey c arrington","R","TX","A000375",NA,NA,"-","-","-","-","TX-19",4,0,0,0,0,0,0,0,0
"Taylor","Scott","scott taylor","R","VA","T000477",NA,NA,"-","-",NA,NA,"VA-02",2,0,0,118911,24100,12769,27531,800,2501
"McEachin","A. Donald","a donald mceachin","D","VA","M001200",NA,NA,NA,"+","+","+","VA-04",3,0,0,28050,0,16500,0,51335,30850
"Jayapal","Pramila","pramila jayapal","D","WA","J000298",NA,NA,"+","+","+","+","WA-07",4,0,0,1870,2500,21,2656,50018,1177
"Gallagher","Mike","mike gallagher","R","WI","G000579",NA,NA,"-","-","-","-","WI-08",4,0,0,144221,0,10500,2004,50,1000
"Cheney","Liz","liz cheney","R","WY","C001109",NA,NA,"-","-","-","-","WY-AL",4,0,0,380859,54650,14009,81316,2000,16
"Cloud","Michael","michael cloud","R","OH",NA,NA,NA,NA,"-","-","-","OH-10,TX-27",3,0,0,0,0,0,0,0,0
"Lesko","Debbie","debbie lesko","R","OH",NA,NA,NA,NA,"-","-","-","OH-10,AZ-08",3,0,0,0,0,0,0,0,0
"Lamb","Conor","conor lamb","D","PA","L000588",NA,NA,NA,"+","+","+","PA-18,PA-17",3,0,0,43285,17700,9064,18210,27555,10528
"Curtis","John","john curtis,john r curtis","R","UT","C001114",NA,NA,NA,"-","-","-","UT-03",3,0,0,0,0,0,0,0,0
"Stanton","Greg","greg stanton","D","AZ","S001211",NA,NA,NA,NA,"+","+","AZ-09",2,0,0,17865,0,17525,17805,11333,505
"Harder","Josh","josh harder","D","CA","H001090",NA,NA,NA,NA,"+","+","CA-10",2,0,0,10458,0,395,109,72928,28186
"Porter","Katie","katie porter","D","CA","P000618",NA,NA,NA,NA,"+","+","CA-45",2,0,0,14820,12,1006,163,78789,22428
"Levin","Mike","mike levin","D","CA","L000593",NA,NA,NA,NA,"+","+","CA-49",2,0,0,10078,0,5909,2,87534,33233
"Neguse","Joe","joe neguse","D","CO","N000191",NA,NA,NA,NA,"+","+","CO-02",2,0,0,0,0,0,0,0,0
"Crow","Jason","jason crow","D","CO","C001121",NA,NA,NA,NA,"+","+","CO-06",2,0,0,27052,0,4652,532,118750,13596
"Hayes","Jahana","jahana hayes","D","CT","H001081",NA,NA,NA,NA,"+","+","CT-05",2,0,0,841,0,257,1,19010,1367
"Waltz","Michael","michael waltz","R","FL","W000823",NA,NA,NA,NA,"+","-","FL-06",2,1,1,45896,0,0,1004,250,3550
"Steube","Greg","greg steube","R","FL",NA,NA,NA,NA,NA,"-","-","FL-17",2,0,0,0,0,0,0,0,0
"McBath","Lucy","lucy mcbath","D","GA","M001208",NA,NA,NA,NA,"+","+","GA-06",2,0,0,21830,0,1522,30,52957,7791
"Case","Ed","ed case","D","HI","C001055",NA,NA,NA,NA,"+","+","HI-01",2,0,0,0,0,0,0,1750,500
"García","Jesús","jes s garc a","D","IL",NA,NA,NA,NA,NA,"+","+","IL-04",2,0,0,0,0,0,0,0,0
"Casten","Sean","sean casten","D","IL","C001117",NA,NA,NA,NA,"+","+","IL-06",2,0,0,18340,0,1077,303,80446,62542
"Underwood","Lauren","lauren underwood","D","IL","U000040",NA,NA,NA,NA,"+","+","IL-14",2,0,0,22030,0,556,10,67810,8389
"Baird","James","james baird,james r baird","R","IN","B001307",NA,NA,NA,NA,"-","-","IN-04",2,0,0,0,0,0,0,0,0
"Pence","Greg","greg pence","R","IN","P000615",NA,NA,NA,NA,"-","-","IN-06",2,0,0,133209,41500,2700,96201,0,28850
"Axne","Cynthia","cynthia axne","D","IA","A000378",NA,NA,NA,NA,"+","+","IA-03",2,0,0,0,0,0,0,0,0
"Davids","Sharice","sharice davids","D","KS","D000629",NA,NA,NA,NA,"+","+","KS-03",2,0,0,16661,0,2807,1628,63346,25113
"Golden","Jared","jared golden,jared f golden","D","ME","G000592",NA,NA,NA,NA,"+","+","ME-02",2,0,0,0,0,0,0,0,0
"Trahan","Lori","lori trahan","D","MA","T000482",NA,NA,NA,NA,"+","+","MA-03",2,0,0,2615,0,0,5400,7264,6029
"Pressley","Ayanna","ayanna pressley","D","MA","P000617",NA,NA,NA,NA,"+","+","MA-07",2,0,0,7035,0,36,25,8830,3047
"Slotkin","Elissa","elissa slotkin","D","MI","S001208",NA,NA,NA,NA,"+","+","MI-08",2,0,0,23229,0,7953,0,121758,4988
"Levin","Andy","andy levin","D","MI","L000592",NA,NA,NA,NA,"+","+","MI-09",2,0,0,7,0,2,0,10778,6125
"Stevens","Haley","haley stevens,haley m stevens","D","MI","S001215",NA,NA,NA,NA,"+","+","MI-11",2,0,0,0,0,0,0,0,0
"Tlaib","Rashida","rashida tlaib","D","MI","T000481",NA,NA,NA,NA,"+","+","MI-13",2,0,0,11635,29,1146,54,8642,3851
"Hagedorn","Jim","jim hagedorn","R","MN","H001088",NA,NA,NA,NA,"-","-","MN-01",2,0,0,50585,3200,5645,4238,0,2116
"Craig","Angie","angie craig","D","MN","C001119",NA,NA,NA,NA,"+","+","MN-02",2,0,0,4090,0,2,1,120810,35856
"Phillips","Dean","dean phillips","D","MN","P000616",NA,NA,NA,NA,"+","+","MN-03",2,0,0,5008,0,0,0,9368,6037
"Omar","Ilhan","ilhan omar","D","MN","O000173",NA,NA,NA,NA,"+","+","MN-05",2,0,0,15917,5,857,162,20495,6205
"Stauber","Pete","pete stauber","R","MN","S001212",NA,NA,NA,NA,"-","-","MN-08",2,0,0,109361,6200,17099,31681,0,25
"Guest","Michael","michael guest","R","MS","G000591",NA,NA,NA,NA,"-","-","MS-03",2,0,0,98719,0,5301,7,0,1002
"Lee","Susie","susie lee","D","NV","L000590",NA,NA,NA,NA,"+","+","NV-03",2,0,0,31211,0,22650,36211,96060,15565
"Pappas","Chris","chris pappas","D","NH","P000614",NA,NA,NA,NA,"+","+","NH-01",2,0,0,2952,0,5,0,31673,1238
"Van Drew","Jefferson","jefferson van drew","R","NJ","V000133",NA,NA,NA,NA,"+","+","NJ-02",2,0,0,0,0,0,0,0,0
"Kim","Andy","andy kim","D","NJ","K000394",NA,NA,NA,NA,"+","+","NJ-03",2,0,0,28766,0,905,0,108849,10138
"Malinowski","Tom","tom malinowski","D","NJ","M001203",NA,NA,NA,NA,"+","+","NJ-07",2,0,0,58923,0,107,3,157512,16033
"Sherrill","Mikie","mikie sherrill","D","NJ","S001207",NA,NA,NA,NA,"+","+","NJ-11",2,0,0,19574,0,253,0,55933,6022
"Ocasio-Cortez","Alexandria","alexandria ocasio cortez","D","NY",NA,NA,NA,NA,NA,"+","+","NY-14",2,0,0,0,0,0,0,0,0
"Delgado","Antonio","antonio delgado","D","NY","D000630",NA,NA,NA,NA,"+","+","NY-19",2,0,0,7400,0,1400,0,72263,15208
"Morelle","Joe","joe morelle","D","NY",NA,NA,NA,NA,NA,"+","+","NY-25",2,0,0,0,0,0,0,0,0
"Armstrong","Kelly","kelly armstrong","R","ND","A000377",NA,NA,NA,NA,"-","-","ND-AL",2,0,0,390551,58300,30000,77350,2800,27500
"Balderson","Troy","troy balderson","R","OH","B001306",NA,NA,NA,NA,"-","-","OH-12",2,0,0,213131,11200,19099,14200,0,2704
"Gonzalez","Anthony","anthony gonzalez","R","OH","G000588",NA,NA,NA,NA,"-","-","OH-16",2,0,0,66752,34300,3410,47550,5600,6804
"Dean","Madeleine","madeleine dean","D","PA","D000631",NA,NA,NA,NA,"+","+","PA-04",2,0,0,1555,0,1501,0,8327,125
"Scanlon","Mary Gay","mary gay scanlon","D","PA","S001205",NA,NA,NA,NA,"+","+","PA-05",2,0,0,10166,0,0,0,20372,10
"Houlahan","Chrissy","chrissy houlahan","D","PA","H001085",NA,NA,NA,NA,"+","+","PA-06",2,0,0,4789,0,15,0,40349,8876
"Wild","Susan","susan wild","D","PA","W000826",NA,NA,NA,NA,"+","+","PA-07",2,0,0,1411,0,2,402,58485,3562
"Meuser","Daniel","daniel meuser","R","PA","M001204",NA,NA,NA,NA,"-","-","PA-09",2,0,0,0,0,0,0,0,0
"Keller","Fred","fred keller","R","PA","K000395",NA,NA,NA,NA,"-","-","PA-12",2,0,0,28158,8100,14250,8100,0,0
"Joyce","John","john joyce","R","PA","J000302",NA,NA,NA,NA,"-","-","PA-13",2,0,0,41000,1000,7500,1000,0,0
"Reschenthaler","Guy","guy reschenthaler","R","PA","R000610",NA,NA,NA,NA,"-","-","PA-14",2,0,0,129500,41925,37550,47229,0,0
"Timmons","William","william timmons,william r timmons","R","SC","T000480",NA,NA,NA,NA,"-","-","SC-04",2,0,0,0,0,0,0,0,0
"Johnson","Dusty","dusty johnson","R","SD","J000301",NA,NA,NA,NA,"-","-","SD-AL",2,0,0,73886,0,3250,6050,0,33900
"Burchett","Tim","tim burchett","R","TN","B001309",NA,NA,NA,NA,"-","-","TN-02",2,0,0,24630,1150,0,1150,0,0
"Rose","John","john rose,john w rose","R","TN","R000612",NA,NA,NA,NA,"-","-","TN-06",2,0,0,0,0,0,0,0,0
"Green","Mark","mark green,mark e green","R","TN","G000590",NA,NA,NA,NA,"-","-","TN-07",2,0,0,0,0,0,0,0,0
"Crenshaw","Dan","dan crenshaw","R","TX","C001120",NA,NA,NA,NA,"-","-","TX-02",2,0,0,631612,1900,67633,9258,300,8310
"Taylor","Van","van taylor","R","TX","T000479",NA,NA,NA,NA,"-","-","TX-03",2,0,0,283665,67,5849,4767,0,160
"Gooden","Lance","lance gooden","R","TX","G000589",NA,NA,NA,NA,"-","-","TX-05",2,0,0,162650,0,26800,0,0,0
"Fletcher","Lizzie","lizzie fletcher","D","TX","F000468",NA,NA,NA,NA,"+","+","TX-07",2,0,0,381922,0,108136,505,26287,21753
"Escobar","Veronica","veronica escobar","D","TX","E000299",NA,NA,NA,NA,"+","+","TX-16",2,0,0,26159,0,216,0,5433,96
"Roy","Chip","chip roy","R","TX","R000614",NA,NA,NA,NA,"-","-","TX-21",2,0,0,385551,67,29123,8677,500,520
"Garcia","Sylvia","sylvia garcia,sylvia r garcia","D","TX","G000587",NA,NA,NA,NA,"+","+","TX-29",2,0,0,0,0,0,0,0,0
"Allred","Colin","colin allred,colin z allred","D","TX","A000376",NA,NA,NA,NA,"+","+","TX-32",2,0,0,0,0,0,0,0,0
"Luria","Elaine","elaine luria,elaine g luria","D","VA","L000591",NA,NA,NA,NA,"+","+","VA-02",2,0,0,0,0,0,0,0,0
"Cline","Ben","ben cline","R","VA","C001118",NA,NA,NA,NA,"-","-","VA-06",2,0,0,24657,2000,13400,3000,0,0
"Spanberger","Abigail","abigail spanberger","D","VA",NA,NA,NA,NA,NA,"+","+","VA-07",2,0,0,0,0,0,0,0,0
"Wexton","Jennifer","jennifer wexton","D","VA","W000825",NA,NA,NA,NA,"+","+","VA-10",2,0,0,17019,0,9131,12,57279,13285
"Schrier","Kim","kim schrier","D","WA","S001216",NA,NA,NA,NA,"+","+","WA-08",2,0,0,6649,0,2716,105,124069,11784
"Miller","Carol","carol miller,carol d miller","R","WV","M001205",NA,NA,NA,NA,"-","-","WV-03",2,0,0,0,0,0,0,0,0
"Steil","Bryan","bryan steil","R","WI","S001213",NA,NA,NA,NA,"-","-","WI-01",2,0,0,106166,7700,10599,10200,0,1400
