"party","Vote_change_dummy","Vote51","Contribution_3_minus","Contribution_3_plus","Contribution_4_minus","Contribution_4_plus","Contribution_51_minus","Contribution_51_plus","Contribution_6_minus","Contribution_6_plus","Contribution_7_minus","Contribution_7_plus","state","BioID","seniority_1151","birthday","Geographical","nominate_dim1","nominate_dim2","Vote51_minus","Vote51_plus","Vote51_NA"
"D",0,1,15500,0,0,0,142414,27909,NA,NA,NA,NA,"TX","O000170",3,1972,"SO",-0.304,-0.331,0,1,0
"R",0,0,95050,10400,69650,0,64800,0,57000,250,NA,NA,"TX","F000461",4,1954,"SO",0.572,0.293,1,0,0
"R",0,NA,21500,0,0,0,NA,NA,NA,NA,NA,NA,"TX","N000182",7,1949,"SO",0.628,0.322,NA,NA,1
"R",0,0,50550,0,34300,0,NA,NA,NA,NA,NA,NA,"TX","S000583",16,1947,"SO",0.425,0.061,1,0,0
"R",0,0,124200,0,137800,0,69478,0,85188,0,NA,NA,"TX","O000168",5,1962,"SO",0.548,0.308,1,0,0
"R",0,0,48715,0,47200,0,28000,0,18761,0,NA,NA,"TX","M001158",7,1951,"SO",0.6,0.154,1,0,0
"R",0,0,32100,0,26550,0,0,0,NA,NA,NA,NA,"TX","F000460",4,1961,"SO",0.548,0.016,1,0,0
"D",1,1,46500,0,96450,2500,0,0,NA,NA,NA,NA,"TX","G000410",13,1947,"SO",-0.324,0.453,0,1,0
"R",0,0,23300,250,45666,0,24100,0,NA,NA,NA,NA,"UT","B001250",8,1951,"WE",0.537,0.105,1,0,0
"R",0,NA,13250,0,16500,0,0,0,NA,NA,NA,NA,"UT","C001076",5,1967,"WE",0.647,-0.278,NA,NA,1
"R",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA",NA,NA,NA,"SO",NA,NA,NA,NA,1
"R",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA",NA,NA,NA,"SO",NA,NA,NA,NA,1
"R",0,0,24000,0,32950,0,0,0,NA,NA,NA,NA,"VA","G000289",13,1952,"SO",0.496,-0.002,1,0,0
"D",0,NA,1250,0,0,0,NA,NA,NA,NA,NA,NA,"WA","M000404",14,1936,"WE",-0.666,-0.197,NA,NA,1
"R",1,1,5750,1000,10000,6500,0,0,NA,NA,NA,NA,"WA","R000578",7,1950,"WE",0.224,-0.146,0,1,0
"D",0,1,3500,0,3000,0,6500,250,1000,0,NA,NA,"WA","H001064",3,1952,"WE",-0.312,-0.128,0,1,0
"R",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WI",NA,NA,NA,"MW",NA,NA,1,0,0
"R",0,0,23000,0,18850,0,22700,0,13300,0,NA,NA,"WI","D000614",4,1971,"MW",0.511,-0.109,1,0,0
"R",0,NA,20800,0,NA,NA,NA,NA,NA,NA,NA,NA,"WI","R000587",3,1956,"MW",0.603,-0.333,NA,NA,1
"R",0,0,4500,2600,17500,0,10000,0,39700,8000,NA,NA,"AL","B001289",3,1955,"SO",0.61,0.25,1,0,0
"R",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ",NA,NA,NA,"WE",NA,NA,1,0,0
"R",1,1,NA,NA,28800,0,44946,5287,NA,NA,NA,NA,"CA","K000387",2,1966,"WE",0.397,0.188,0,1,0
"R",0,0,NA,NA,24500,2000,46500,0,NA,NA,NA,NA,"CA","W000820",2,1962,"WE",0.433,0.177,1,0,0
"R",0,NA,NA,NA,44500,2750,32500,1000,NA,NA,NA,NA,"FL","C001107",2,1980,"SO",0.211,-0.185,NA,NA,1
"R",0,0,NA,NA,12300,1500,39523,8037,NA,NA,NA,NA,"IA","B001294",2,1955,"MW",0.527,-0.488,1,0,0
"R",0,0,NA,NA,21900,7000,38467,20787,NA,NA,NA,NA,"IA","Y000066",2,1968,"MW",0.442,-0.038,1,0,0
"R",0,0,NA,NA,12000,0,10700,0,0,0,NA,NA,"LA","A000374",2,1954,"SO",0.541,0.257,1,0,0
