"party","Vote_change_dummy","Vote3","Contribution_3_minus","Contribution_3_plus","state","BioID","seniority_113","birthday","Geographical","nominate_dim1","nominate_dim2","Vote3_minus","Vote3_plus","Vote3_NA"
"R",0,NA,NA,NA,"IA","B001294",0,1955,"MW",0.527,-0.488,NA,NA,1
"R",0,NA,NA,NA,"IA","Y000066",0,1968,"MW",0.442,-0.038,NA,NA,1
"R",0,NA,NA,NA,"LA","A000374",0,1954,"SO",0.541,0.257,NA,NA,1
"R",0,NA,NA,NA,"ME","P000611",0,1953,"NE",0.36,-0.182,NA,NA,1
"R",0,NA,NA,NA,"MI","B001293",0,1967,"MW",0.451,0.095,NA,NA,1
"R",0,NA,NA,NA,"MI","T000475",0,1960,"MW",0.369,0.257,NA,NA,1
"R",0,NA,NA,NA,"NJ","M001193",0,1960,"NE",0.206,0.274,NA,NA,1
"R",0,NA,NA,NA,"NY","D000625",0,1956,"NE",0.227,0.095,NA,NA,1
"R",0,NA,NA,NA,"NC",NA,NA,NA,"SO",NA,NA,NA,NA,1
"R",0,NA,NA,NA,"OK","R000604",0,1963,"SO",0.473,-0.183,NA,NA,1
"R",1,NA,NA,NA,"PA","C001106",0,1976,"NE",0.217,-0.055,NA,NA,1
"R",0,NA,NA,NA,"TX","R000601",0,1965,"SO",0.693,0.113,NA,NA,1
"R",0,NA,NA,NA,"TX","H001073",0,1977,"SO",0.287,0.228,NA,NA,1
"R",0,NA,NA,NA,"UT","L000584",0,1975,"WE",0.542,-0.056,NA,NA,1
"R",0,NA,0,0,"VA","B001290",1,1964,"SO",0.829,-0.325,NA,NA,1
"R",0,NA,NA,NA,"VA","C001105",0,1959,"SO",0.276,0.389,NA,NA,1
"R",0,NA,NA,NA,"WV","J000297",0,1960,"SO",0.315,0.308,NA,NA,1
"R",0,NA,NA,NA,"FL","R000607",0,1953,"SO",0.501,-0.494,NA,NA,1
"R",0,NA,NA,NA,"GA","H001078",0,1962,"SO",0.493,0.305,NA,NA,1
"R",0,NA,NA,NA,"KS",NA,NA,NA,"MW",NA,NA,NA,NA,1
"R",0,NA,NA,NA,"MI","M001201",0,1961,"MW",0.422,0.311,NA,NA,1
"R",0,NA,NA,NA,"MN","L000587",0,1955,"MW",0.506,-0.197,NA,NA,1
"R",0,NA,NA,NA,"MT","G000584",0,1961,"WE",0.431,0.085,NA,NA,1
"D",0,NA,NA,NA,"NV",NA,NA,NA,"WE",NA,NA,NA,NA,1
"D",0,NA,NA,NA,"NV","K000390",0,1980,"WE",-0.397,0.226,NA,NA,1
"R",0,NA,NA,NA,"NY","F000464",0,1952,"NE",0.234,-0.008,NA,NA,1
"R",0,NA,NA,NA,"VA","T000477",0,1979,"SO",0.456,0.021,NA,NA,1
