"","LastName","FirstName","Amount.oil.116","Amount.coal.116","Amount.mining.116","Amount.gas.116","Amount.env.116","Amount.alt_en.116","Party","StateAbbreviation"
"180","Hollingsworth","Trey",29450,11000,11000,0,0,17000,"R","IN"
"181","Palazzo","Steven",29450,0,1000,3000,0,0,"R","MS"
"182","Kelly","Trent",29087,350,350,1000,0,0,"R","MS"
"183","Crist","Charlie",28505,0,0,0,16881,0,"D","FL"
"184","Emmer","Tom",28500,0,2500,1500,0,27493,"R","MN"
"185","Roby","Martha",28100,2000,2000,2500,0,0,"R","AL"
"186","Larsen","Rick",27751,0,0,9000,1500,15,"D","WA"
"187","Watkins","Steve",27700,0,0,0,0,14550,"R","KS"
"188","Gonzalez","Anthony",27550,22600,30850,1500,0,3500,"R","OH"
"189","Wagner","Ann",27500,8000,13000,3000,0,1000,"R","MO"
"190","Malinowski","Tom",27303,0,3,22,44966,7599,"D","NJ"
"191","Costello","Ryan",27200,1000,-1700,7200,500,0,"R","PA"
"192","Norman","Ralph",27150,0,250,0,0,1000,"R","SC"
"193","Abraham","Ralph",27050,0,0,4250,0,0,"R","LA"
"194","Lipinski","Daniel",27000,0,0,2500,0,1000,"D","IL"
"195","Diaz-Balart","Mario",26500,0,0,0,0,0,"R","FL"
"196","Norcross","Don",26210,0,0,7500,500,0,"D","NJ"
"197","Amodei","Mark",26000,1000,45700,6000,0,0,"R","NV"
"198","Mooney","Alex",25850,15800,17800,4500,0,250,"R","WV"
"199","McGrath","Amy",25613,250,500,2824,8335,11947,"D","KY"
"200","Swalwell","Eric",25558,0,0,3000,3965,3361,"D","CA"
"201","Pounds","Bunni",25450,0,5400,0,0,0,"R","TX"
"202","Wilson","Joe",25300,0,0,1000,0,2700,"R","SC"
"203","Hultgren","Randy",25200,1500,1500,7500,0,1000,"R","IL"
"204","Marshall","Roger",25082,0,0,1000,0,48693,"R","KS"
"205","Fulcher","Russ",25000,0,2250,0,0,1500,"R","ID"
"206","Kustoff","David",25000,0,0,0,0,1000,"R","TN"
"207","Rose","John",25000,0,0,0,0,0,"R","TN"
"208","Lamb","Conor",24797,4000,4500,8726,7425,4925,"D","PA"
"209","Harkey","Diane",24650,0,0,0,0,0,"R","CA"
"210","Cardenas","Tony",24530,0,0,3000,1604,2000,"D","CA"
"211","Tonko","Paul",24475,0,0,8000,4153,22290,"D","NY"
"212","Issa","Darrell",24050,1585,1835,5400,0,1000,"R","CA"
"213","Green","Gene",24000,0,0,11000,0,0,"D","TX"
"214","Loudermilk","Barry",24000,0,500,1000,0,0,"R","GA"
"215","Foxx","Virginia",23950,19250,65325,2500,0,0,"R","NC"
"216","Hill","Owen",23850,0,0,0,0,0,"R","CO"
"217","Gilpin","Tim",23750,0,0,3500,0,1500,"D","OK"
"218","Garcia","Sylvia",23508,0,0,3001,7834,350,"D","TX"
"219","Cloud","Michael",23200,0,0,2000,0,0,"R","TX"
"220","Frelinghuysen","Rodney",22800,0,1500,2500,0,0,"R","NJ"
"221","Lamborn","Doug",22791,6000,15000,1000,0,0,"R","CO"
"222","Lujan","Ben Ray",22651,1000,6000,7000,5967,500,"D","NM"
"223","Jones","Gina Ortiz",22579,0,1500,15,117194,12800,"D","TX"
"224","Capuano","Michael E",22325,0,2700,10100,750,0,"D","MA"
"225","Kopser","Joseph",22175,0,40,1000,10017,16083,"D","TX"
"226","Thompson","Mike",22000,0,0,1000,3025,8000,"D","CA"
"227","LaMalfa","Doug",21980,2700,2700,9630,0,2250,"R","CA"
"228","Krishnamoorthi","Raja",21925,500,500,250,4408,12100,"D","IL"
"229","Mullikin","Tom",21900,0,0,0,0,0,"R","SC"
"230","Ossoff","Jon",21693,0,90,1237,69911,10110,"D","GA"
"231","Wittman","Rob",21615,0,0,8500,500,0,"R","VA"
"232","Cook","Paul",21500,0,1450,14000,0,6400,"R","CA"
"233","Hardy","Cresent",21400,0,5000,2500,0,0,"R","NV"
"234","Brooks","Susan",21300,3000,9000,0,0,7500,"R","IN"
"235","Chabot","Steve",20700,9250,53425,0,0,0,"R","OH"
"236","Ellzey","Jake",20150,0,0,5000,0,0,"R","TX"
"237","Clyburn","James E",20006,0,0,5500,4750,2500,"D","SC"
"238","Newhouse","Dan",20000,0,1000,1500,0,0,"R","WA"
"239","Tedeschi","Peter",19975,0,0,0,0,0,"R","MA"
"240","Amash","Justin",19900,0,0,0,0,0,"R","MI"
"241","Royce","Ed",19600,0,1000,0,1000,2500,"R","CA"
"242","Byrne","Bradley",19200,0,2000,1000,2700,0,"R","AL"
"243","Smith","Adrian",19000,1500,1500,0,0,23000,"R","NE"
"244","Smith","Chris",18956,0,0,0,0,0,"R","NJ"
"245","Gosar","Paul",18600,5500,35125,0,0,3000,"R","AZ"
"246","Horn","Kendra",18557,0,0,2425,275,1500,"D","OK"
"247","Riggleman","Denver",18400,3700,3700,0,0,2700,"R","VA"
"248","Jackson","Lee Sheila",18206,0,0,0,0,0,"D","TX"
"249","Krebs","Shantel",18150,0,500,0,0,2700,"R","SD"
"250","Webber","Jay",18100,0,0,0,0,0,"R","NJ"
"251","Welch","Peter",18000,0,0,3000,2451,50,"D","VT"
"252","Waltz","Michael",17825,0,0,0,0,2700,"R","FL"
"253","Ferguson","Drew",17700,0,500,2500,0,0,"R","GA"
"254","Harper","Gregg",17660,0,1000,2500,0,0,"R","MS"
"255","Palmer","Gary",17500,6000,6000,0,0,0,"R","AL"
"256","Salazar","Maria",17100,2700,2700,0,0,0,"R","FL"
"257","Biggs","Andy",17000,0,7500,3000,0,0,"R","AZ"
"258","Hagedorn","Jim",17000,2700,3700,0,0,500,"R","MN"
"259","Matsui","Doris",17000,0,1000,3000,4537,5000,"D","CA"
"260","Arnold-Jones","Janice",16800,0,0,0,0,0,"R","NM"
"261","Galvin","Alyse",16796,0,500,1537,4449,526,"D","AK"
"262","Sewell","Terri",16750,2500,2500,1000,0,0,"D","AL"
"263","Miller","Carol",16700,44950,115725,3500,0,0,"R","WV"
"264","Panetta","Jimmy",16500,0,0,14000,7400,0,"D","CA"
"265","Woodall","Rob",16500,0,500,2500,1000,0,"R","GA"
"266","Koh","Dan",16450,1000,1000,5400,1250,0,"D","MA"
"267","Bucshon","Larry",16200,21900,23900,1000,0,250,"R","IN"
"268","Aderholt","Robert B",16053,3600,5600,0,0,2500,"R","AL"
"269","Jordan","Jim",16000,0,1000,0,0,0,"R","OH"
"270","Beyer","Don",15902,0,2500,8900,5380,11900,"D","VA"
"271","Hegar","MJ",15739,0,60,2039,6330,11433,"D","TX"
"272","Wenstrup","Brad",15700,10225,10225,1000,0,0,"R","OH"
"273","Green","Rick",15400,0,0,0,0,0,"R","MA"
"274","Sanford","Mark",15400,0,0,2000,0,4200,"R","SC"
"275","Escobar","Veronica",15383,0,0,26,3299,0,"D","TX"
"276","Turner","Michael R",15200,0,1000,0,0,0,"R","OH"
"277","Davis","Paul",15183,0,4,32,981,3343,"D","KS"
"278","Banks","Jim",15000,0,1000,0,0,0,"R","IN"
"279","McClintock","Tom",14750,0,5500,2000,0,1000,"R","CA"
"280","DeFazio","Peter",14500,0,0,2500,2375,40,"D","OR"
"281","Steele","Dayna",14427,0,0,252,0,2901,"D","TX"
"282","DelBene","Suzan",14011,0,0,0,23051,300,"D","WA"
"283","Kennedy","Joe III",13875,0,15,1015,21485,6655,"D","MA"
"284","Hartzler","Vicky",13800,1000,1000,2000,0,3500,"R","MO"
"285","Ryan","Tim",13725,5400,7400,6200,5513,322,"D","OH"
"286","Harris","Mark",13600,3075,3075,0,0,0,"R","NC"
"287","Slotkin","Elissa",13517,0,0,5900,56414,3839,"D","MI"
"288","Landry","Jeff",13500,0,0,2500,0,0,"R","LA"
"289","Higgins","Brian M",13100,0,0,10100,0,1000,"D","NY"
"290","Peterson","Lea Marquez",13000,0,2450,2500,0,0,"R","AZ"
"291","Ross","Dennis",13000,0,0,0,0,0,"R","FL"
"292","Rush","Bobby",13000,0,1000,5000,1000,1000,"D","IL"
"293","King","Pete",12900,0,0,2500,0,0,"R","NY"
"294","Sheets","Kenneth",12900,0,0,2800,0,250,"R","TX"
"295","Castro","Joaquin",12890,0,0,0,4700,500,"D","TX"
"296","Miller","Mike",12800,7700,7700,0,0,0,"R","FL"
"297","Harris","Andy",12750,2000,4000,0,0,0,"R","MD"
"298","Moolenaar","John",12750,0,0,1000,0,0,"R","MI"
"299","Desjarlais","Scott",12400,0,0,0,0,0,"R","TN"
"300","Kilmer","Derek",12375,0,0,0,25613,0,"D","WA"
"301","Pittenger","Robert",12200,250,250,2700,0,0,"R","NC"
"302","Lee","Susie",11893,0,15465,9100,41576,4355,"D","NV"
"303","Garrett","Tom",11850,0,0,1000,0,0,"R","VA"
"304","Jones","Walter B Jr",11800,0,0,0,0,0,"R","NC"
"305","Bishop","Sanford",11750,2500,8500,1000,0,1000,"D","GA"
"306","Butterfield","G K",11500,0,0,0,1763,2000,"D","NC"
"307","Doyle","Mike",11500,0,500,8500,1500,250,"D","PA"
"308","Maloney","Carolyn",11400,0,2000,0,3550,1500,"D","NY"
"309","McCall","Matt",11400,0,0,0,0,0,"R","TX"
"310","Posey","Bill",11400,0,0,0,0,0,"R","FL"
"311","Khanna","Ro",11311,0,0,0,0,5641,"D","CA"
"312","Comer","James",11250,2000,3000,1000,0,11000,"R","KY"
"313","Nelson","Shawn",11199,0,0,10700,0,0,"R","CA"
"314","Meier","Edward",11075,0,0,2150,500,0,"D","TX"
"315","Burchett","Tim",11050,250,250,0,0,0,"R","TN"
"316","Crow","Jason",11020,0,507,1852,66533,5032,"D","CO"
"317","Luetkemeyer","Blaine",11000,0,1750,2000,0,6000,"R","MO"
"318","Bryce","Randy",10819,20,83,185,25691,1610,"D","WI"
"319","Coleman","Andy",10754,2950,2950,0,0,0,"R","OK"
"320","Davidson","Warren",10500,0,0,0,0,0,"R","OH"
"321","Joyce","John",10500,0,0,5000,0,0,"R","PA"
"322","Reed","Dave",10500,17840,21080,10000,0,0,"R","PA"
"323","Sensenbrenner","Jim",10500,0,0,0,0,0,"R","WI"
"324","Hamilton","Dan",10400,0,0,0,1000,0,"R","SC"
"325","Meuser","Dan",10300,8100,9100,2500,0,500,"R","PA"
"326","Hensarling","Jeb",10200,0,0,0,0,0,"R","TX"
"327","Massie","Thomas",10200,1000,2000,0,0,0,"R","KY"
"328","Grayson","Alan",10196,0,0,190,2818,85,"D","FL"
"329","Mucarsel-Powell","Debbie",10053,0,3,2700,16814,657,"D","FL"
"330","Harbaugh","Ken",10004,0,185,6925,9541,12589,"D","OH"
"331","Marino","Tom",10000,2700,2700,0,0,0,"R","PA"
"332","Payne","Donald M Jr",10000,0,0,0,0,10000,"D","NJ"
"333","Steube","Greg",10000,0,0,0,0,0,"R","FL"
"334","Cline","Ben",9950,1000,1000,3200,0,0,"R","VA"
"335","Allen","Richard W",9800,0,1500,2500,0,0,"R","GA"
"336","Manning","Kathy",9762,0,0,0,12151,1314,"D","NC"
"337","Isaac","Jason",9750,0,0,5000,0,0,"R","TX"
"338","Arrington","Katie",9500,2700,2700,0,0,4200,"R","SC"
"339","Thompson","Bennie G",9500,0,0,4500,2000,0,"D","MS"
"340","Gowdy","Trey",9475,2700,2950,0,0,0,"R","SC"
"341","Engel","Eliot",9150,0,2000,0,2000,2000,"D","NY"
"342","Hill","Katie",9100,0,105,256,35487,8642,"D","CA"
"343","Levin","Mike",9015,0,1,5404,45795,15042,"D","CA"
"344","Brown","Anthony",9000,0,0,2000,3250,5000,"D","MD"
"345","Fleischmann","Chuck",9000,0,1000,3500,0,0,"R","TN"
"346","O'Connor","Danny",8977,0,0,308,60142,4519,"D","OH"
"347","Tucker","Clarke",8937,0,0,27,15540,307,"D","AR"
"348","Harris","Tim",8800,2250,2250,3000,0,0,"R","OK"
"349","Seaman","Victoria",8700,0,0,0,0,0,"R","NV"
"350","Wild","Bill",8450,0,0,0,0,0,"D","MI"
"351","Grimm","Michael",8400,0,0,0,1000,0,"R","NY"
"352","Sherrill","Mikie",8353,0,0,250,21847,4696,"D","NJ"
"353","Loebsack","David",8262,0,0,0,2750,32301,"D","IA"
"354","Clark","Katherine",8206,0,0,0,5913,1000,"D","MA"
"355","Janz","Andrew",8155,0,45,1518,5229,12736,"D","CA"
"356","Kim","Andy",8142,0,0,99,35904,806,"D","NJ"
"357","Perlmutter","Ed",8111,0,3000,0,1250,0,"D","CO"
"358","Beals","Jeff",8100,0,0,0,500,0,"D","NY"
"359","Franklin","George",8100,0,0,0,0,0,"D","MI"
"360","McCready","Dan",8013,5400,5400,2710,54846,58312,"D","NC"
"361","Anthony","Stavros",8000,0,0,0,0,0,"R","NV"
"362","Dingell","Debbie",8000,0,0,1000,5903,250,"D","MI"
"363","Edwards","Eddie",8000,0,0,0,0,0,"R","NH"
"364","Foster","Bill",7950,0,0,0,16500,9610,"D","IL"
"365","Moser","Laura",7943,0,1000,424,575,50,"D","TX"
"366","Bustos","Cheri",7870,3,3,1020,5929,19258,"D","IL"
"367","Small","Xochitl Torres",7761,0,19,9,62425,2068,"D","NM"
"368","King","Steven A",7750,1000,1000,0,0,27418,"R","IA"
"369","Bright","Bobby",7700,0,0,0,0,0,"R","AL"
"370","Phillips","Rupie Jr",7700,41480,101230,0,0,0,"R","WV"
"371","Rouda","Harley",7577,0,0,82,30557,14966,"D","CA"
"372","Morelle","Joseph D",7503,0,0,7002,3250,2500,"D","NY"
"373","Cartwright","Matt",7502,0,0,0,19137,1000,"D","PA"
"374","Goodlatte","Bob",7500,0,0,1000,0,0,"R","VA"
"375","Kind","Ron",7500,0,0,3000,1800,12375,"D","WI"
"376","Walz","Tim",7500,0,0,0,0,0,"D","MN"
"377","Negley","William",7300,0,2950,0,0,0,"R","TX"
"378","Crawford","Rick",7250,0,1000,1000,0,0,"R","AR"
"379","Scott","George",7241,0,1003,210,14899,5816,"D","PA"
"380","Javed","Tahir",7200,0,0,0,0,0,"D","TX"
"381","Desaulnier","Mark",7175,0,0,0,650,1500,"D","CA"
"382","Zinke","Ryan",7100,0,0,-1000,0,0,"R","MT"
"383","Visclosky","Pete",7051,0,2000,2000,0,2000,"D","IN"
"384","Navarro","Omar",7043,0,100,1000,0,0,"R","CA"
"385","Rochester","Lisa Blunt",7029,0,0,3025,6223,0,"D","DE"
"386","Campa-Najjar","Ammar",7017,0,0,762,6007,10135,"D","CA"
"387","Chrin","John",7000,0,2000,0,0,0,"R","PA"
"388","Hice","Jody",7000,0,15967,0,0,6900,"R","GA"
"389","Lowenthal","Alan",7000,0,2500,0,5100,0,"D","CA"
"390","Rogers","Mike D",7000,7000,7000,0,0,0,"R","AL"
"391","Sanchez","Linda",7000,0,0,2500,2503,2500,"D","CA"
"392","Davids","Sharice",6970,0,1263,2757,20416,9614,"D","KS"
"393","McNerney","Jerry",6900,0,0,3500,9950,12700,"D","CA"
"394","Ward","John",6750,0,0,0,0,0,"R","FL"
"395","Havens","Jonathan",6550,0,0,1000,0,0,"R","TX"
