"first_name.x","last_name.x","state.x","district.x","Vote3","Vote4","Vote51","Vote52","Vote6","BioID","GovtrackID","Vote7","party","Vote_count","Vote_change","opensecrets_id.x","Contribution_3_-.x","Contribution_3_+.x","Contribution_4_-.x","Contribution_4_+.x","Contribution_51_-.x","Contribution_51_+.x","Contribution_52_-.x","Contribution_52_+.x","Contribution_6_-.x","Contribution_6_+.x","Contribution_7_-.x","Contribution_7_+.x","name.x","last_name.y","first_name.y","state.y","opensecrets_id.y","bioguide_id","district.y","Contribution_3_-.y","Contribution_3_+.y","Contribution_4_-.y","Contribution_4_+.y","Contribution_51_-.y","Contribution_51_+.y","Contribution_52_-.y","Contribution_52_+.y","Contribution_6_-.y","Contribution_6_+.y","Contribution_7_-.y","Contribution_7_+.y","name.y"
"Danny K.","Davis","IL",7,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"danny k davis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tammy","Duckworth","IL",8,"+","+",NA,NA,NA,NA,NA,NA,"D",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tammy duckworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bill","Enyart","IL",12,"+",NA,NA,NA,NA,NA,NA,NA,"D",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bill enyart",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Randy","Hultgren","IL",14,"-","-","-","-",NA,NA,NA,NA,"R",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"randy hultgren","Hultgren","Randy","IL","N00031104","H001059",14,16000,250,22000,0,24500,0,28500,0,NA,NA,NA,NA,"randy hultgren"
"John M.","Shimkus","IL",15,"-","-","-","-","-",NA,NA,NA,"R",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"john m shimkus","Shimkus","John","IL","N00004961","S000364",15,101500,3500,215482,10600,86000,8750,114500,8500,101000,0,NA,NA,"john shimkus"
"Aaron","Schock","IL",18,"-",NA,NA,NA,NA,NA,NA,NA,"R",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aaron schock","Schock","Aaron","IL","N00029273","S001179",18,23100,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aaron schock"
"Peter J.","Visclosky","IN",1,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"peter j visclosky","Visclosky","Peter","IN","N00003813","V000108",1,8500,500,28000,1500,13500,2000,17000,0,7500,0,NA,NA,"peter visclosky"
"Marlin","Stutzman","IN",3,"-","-",NA,NA,NA,NA,NA,NA,"R",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"marlin stutzman","Stutzman","Marlin","IN","N00030891","S001188",3,12850,16600,45355,2000,NA,NA,NA,NA,NA,NA,NA,NA,"marlin stutzman"
"Todd","Rokita","IN",4,"-","-","-","-",NA,NA,NA,NA,"R",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"todd rokita","Rokita","Todd","IN","N00031741","R000592",4,15100,500,15350,0,19700,5200,3500,3200,NA,NA,NA,NA,"todd rokita"
"Susan W.","Brooks","IN",5,"-","-","-","-","-",NA,NA,NA,"R",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"susan w brooks","Brooks","Susan","IN","N00033495","B001284",5,4000,0,24700,5000,22050,8250,18050,8250,12000,0,NA,NA,"susan brooks"
"Luke","Messer","IN",6,"-","-","-","-",NA,NA,NA,NA,"R",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"luke messer","Messer","Luke","IN","N00012546","M001189",6,11100,0,28500,500,16200,500,6850,0,NA,NA,NA,NA,"luke messer"
"Todd","Young","IN",9,"-","-",NA,NA,NA,NA,NA,NA,"R",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"todd young",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bruce","Braley","IA",1,"+",NA,NA,NA,NA,NA,NA,NA,"D",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bruce braley","Braley","Bruce","IA","N00027464","B001259",1,1500,12400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bruce braley"
"Dave W.","Loebsack","IA",2,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dave w loebsack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tom","Latham","IA",3,"-",NA,NA,NA,NA,NA,NA,NA,"R",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tom latham","Latham","Tom","IA","N00004227","L000111",3,30500,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tom latham"
"Steve A.","King","IA",4,"-","-","-","-","-",NA,NA,NA,"R",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"steve a king","King","Steve","IA","N00025237","K000362",4,2000,0,5550,11800,1600,18593,1200,16800,NA,NA,NA,NA,"steve king"
"Tim","Huelskamp","KS",1,"-","-",NA,NA,NA,NA,NA,NA,"R",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tim huelskamp","Huelskamp","Tim","KS","N00027649","H001057",1,22550,500,10200,0,NA,NA,NA,NA,NA,NA,NA,NA,"tim huelskamp"
"Lynn M.","Jenkins","KS",2,"-","-","-","-",NA,NA,NA,NA,"R",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lynn m jenkins","Jenkins","Lynn","KS","N00029077","J000290",2,1e+05,0,55750,2250,NA,NA,NA,NA,NA,NA,NA,NA,"lynn jenkins"
"Kevin","Yoder","KS",3,"-","-","-","-",NA,NA,NA,NA,"R",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kevin yoder","Yoder","Kevin","KS","N00031502","Y000063",3,32000,11900,10900,10000,52100,10000,43100,5000,NA,NA,NA,NA,"kevin yoder"
"Mike","Pompeo","KS",4,"-","-",NA,NA,NA,NA,NA,NA,"R",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mike pompeo","Pompeo","Mike","KS","N00030744","P000602",4,212050,12400,45750,0,NA,NA,NA,NA,NA,NA,NA,NA,"mike pompeo"
"Ed","Whitfield","KY",1,"-","-",NA,NA,NA,NA,NA,NA,"R",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ed whitfield","Whitfield","Ed","KY","N00003467","W000413",1,146500,6000,-2500,0,NA,NA,NA,NA,NA,NA,NA,NA,"ed whitfield"
"Cedric L","Richmond","LA",2,"+","+","+",NA,"+",NA,NA,NA,"D",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cedric l richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Charles","Boustany","LA",3,"-","-",NA,NA,NA,NA,NA,NA,"R",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"charles boustany","Boustany","Charles","LA","N00026595","B001255",3,65700,0,169237,1500,NA,NA,NA,NA,NA,NA,NA,NA,"charles boustany"
"John","Fleming","LA",4,"-","-",NA,NA,NA,NA,NA,NA,"R",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"john fleming","Fleming","John","LA","N00029679","F000456",4,62750,0,38400,500,NA,NA,NA,NA,NA,NA,NA,NA,"john fleming"
"Bill","Cassidy","LA",6,"-",NA,NA,NA,NA,NA,NA,NA,"R",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bill cassidy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chellie M.","Pingree","ME",1,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chellie m pingree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael H.","Michaud","ME",2,"+",NA,NA,NA,NA,NA,NA,NA,"D",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"michael h michaud","Michaud","Michael","ME","N00024770","M001149",2,2000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"michael michaud"
"John P.","Sarbanes","MD",3,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"john p sarbanes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Donna","Edwards","MD",4,"+","+",NA,NA,NA,NA,NA,NA,"D",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"donna edwards","Edwards","Donna","MD","N00028249","E000290",4,1000,0,460,1225,NA,NA,NA,NA,NA,NA,NA,NA,"donna edwards"
"Steny H.","Hoyer","MD",5,"+","+","+",NA,"+",NA,NA,NA,"D",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"steny h hoyer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"John K.","Delaney","MD",6,"+","+","+","+",NA,NA,NA,NA,"D",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"john k delaney","Delaney","John","MD","N00033897","D000620",6,7500,0,5500,0,2700,1000,NA,NA,NA,NA,NA,NA,"john delaney"
"Elijah E.","Cummings","MD",7,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"elijah e cummings","Cummings","Elijah","MD","N00001971","C000984",7,38800,0,9000,0,10000,0,5000,0,4500,0,NA,NA,"elijah cummings"
"Chris","Van Hollen","MD",8,"+","+",NA,NA,NA,NA,NA,NA,"D",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chris van hollen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Richard E.","Neal","MA",1,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"richard e neal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Niki","Tsongas","MA",3,"+","+","+","+",NA,NA,NA,NA,"D",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"niki tsongas","Tsongas","Niki","MA","N00029026","T000465",3,NA,NA,1250,0,NA,NA,NA,NA,NA,NA,NA,NA,"niki tsongas"
"Joseph P.","Kennedy","MA",4,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"joseph p kennedy","Kennedy","Joseph","MA","N00034044","K000379",4,5450,0,13400,0,10050,5650,8050,5650,6450,0,NA,NA,"joseph kennedy"
"John F.","Tierney","MA",6,"+",NA,NA,NA,NA,NA,NA,NA,"D",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"john f tierney","Tierney","John","MA","N00000226","T000266",6,1000,2600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"john tierney"
"Michael E.","Capuano","MA",7,"+","+","+","+",NA,NA,NA,NA,"D",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"michael e capuano","Capuano","Michael","MA","N00000267","C001037",7,NA,NA,1000,0,21400,5650,21400,5650,NA,NA,NA,NA,"michael capuano"
"Stephen F.","Lynch","MA",8,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stephen f lynch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dan","Benishek","MI",1,"-","-",NA,NA,NA,NA,NA,NA,"R",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dan benishek","Benishek","Dan","MI","N00031934","B001271",1,58300,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dan benishek"
"Justin","Amash","MI",3,"-","-","-","-","-",NA,NA,NA,"R",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"justin amash","Amash","Justin","MI","N00031938","A000367",3,2500,0,7100,0,NA,NA,5000,0,1250,0,NA,NA,"justin amash"
"Dave","Camp","MI",4,"-",NA,NA,NA,NA,NA,NA,NA,"R",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dave camp","Camp","Dave","MI","N00008086","C000071",4,130862,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dave camp"
"Daniel T.","Kildee","MI",5,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"daniel t kildee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mike J.","Rogers","MI",8,"-",NA,NA,NA,NA,NA,NA,NA,"R",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mike j rogers","Rogers","Mike","MI","N00009668","R000572",8,50700,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mike rogers"
"Sander M.","Levin","MI",9,"+","+","+","+",NA,NA,NA,NA,"D",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sander m levin","Levin","Sander","MI","N00003950","L000263",9,8500,1000,25500,2000,NA,NA,NA,NA,NA,NA,NA,NA,"sander levin"
"Candice S.","Miller","MI",10,"-","-",NA,NA,NA,NA,NA,NA,"R",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"candice s miller","Miller","Candice","MI","N00009795","M001150",10,13500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"candice miller"
"Kerry L.","Bentivolio","MI",11,"-",NA,NA,NA,NA,NA,NA,NA,"R",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kerry l bentivolio","Bentivolio","Kerry","MI","N00033625","B001280",11,9500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kerry bentivolio"
"John D.","Dingell","MI",12,"+",NA,NA,NA,NA,NA,NA,NA,"D",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"john d dingell","Dingell","John","MI","N00001783","D000355",12,36950,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"john dingell"
"John","Conyers","MI",13,"+","+","+",NA,NA,NA,NA,NA,"D",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"john conyers","Conyers","John","MI","N00004029","C000714",13,6500,0,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,"john conyers"
"Gary C.","Peters","MI",14,"+",NA,NA,NA,NA,NA,NA,NA,"D",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gary c peters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tim","Walz","MN",1,"+","+","+",NA,NA,NA,NA,NA,"D",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tim walz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"John P.","Kline","MN",2,"-","-",NA,NA,NA,NA,NA,NA,"R",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"john p kline","Kline","John","MN","N00004436","K000363",2,10000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"john kline"
"Erik","Paulsen","MN",3,"-","-","-",NA,NA,NA,NA,NA,"R",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"erik paulsen","Paulsen","Erik","MN","N00029391","P000594",3,20200,0,35499,333,36300,5400,55401,5400,NA,NA,NA,NA,"erik paulsen"
"Keith M.","Ellison","MN",5,"+","+","+","+",NA,NA,NA,NA,"D",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keith m ellison","Ellison","Keith","MN","N00028257","E000288",5,2050,250,1680,0,890,640,710,90,NA,NA,NA,NA,"keith ellison"
"Michele","Bachmann","MN",6,"-",NA,NA,NA,NA,NA,NA,NA,"R",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"michele bachmann","Bachmann","Michele","MN","N00027493","B001256",6,8400,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"michele bachmann"
"Collin C.","Peterson","MN",7,"-","-","-",NA,"+",NA,NA,NA,"D",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"collin c peterson","Peterson","Collin","MN","N00004558","P000258",7,7000,0,24200,0,18500,7500,14500,7500,12000,0,NA,NA,"collin peterson"
"Rick","Nolan","MN",8,"+","+","+","+",NA,NA,NA,NA,"D",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rick nolan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alan","Nunnelee","MS",1,"-",NA,NA,NA,NA,NA,NA,NA,"R",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"alan nunnelee","Nunnelee","Alan","MS","N00031006","N000186",1,58300,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"alan nunnelee"
"Bennie G.","Thompson","MS",2,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bennie g thompson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gregg","Harper","MS",3,"-","-","-","-",NA,NA,NA,NA,"R",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gregg harper","Harper","Gregg","MS","N00029632","H001045",3,84300,0,31400,0,-6500,0,-9000,0,NA,NA,NA,NA,"gregg harper"
"William Lacy","Clay","MO",1,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"william lacy clay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jason T.","Smith","MO",8,"-","-","-","-","-",NA,NA,NA,"R",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"jason t smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Steve","Daines","MT",0,"-",NA,NA,NA,NA,NA,NA,NA,"R",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"steve daines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lee R.","Terry","NE",2,"-",NA,NA,NA,NA,NA,NA,NA,"R",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lee r terry","Terry","Lee","NE","N00005321","T000459",2,72850,14500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lee terry"
"Adrian M.","Smith","NE",3,"-","-","-","-","-",NA,NA,NA,"R",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"adrian m smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mark E.","Amodei","NV",2,"-","-","-","-","-",NA,NA,NA,"R",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mark e amodei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joe","Heck","NV",3,"-","-",NA,NA,NA,NA,NA,NA,"R",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"joe heck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Steven A.","Horsford","NV",4,"+",NA,NA,NA,"+",NA,NA,NA,"D",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"steven a horsford",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carol","Shea-Porter","NH",1,"+",NA,"+",NA,NA,NA,NA,NA,"D",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"carol shea porter","Shea-Porter","Carol","NH","N00028091","S001170",1,500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"carol shea porter"
"Ann M.","Kuster","NH",2,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ann m kuster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robert E.","Andrews","NJ",1,"+",NA,NA,NA,NA,NA,NA,NA,"D",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"robert e andrews","Andrews","Robert","NJ","N00000826","A000210",1,7500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"robert andrews"
"Frank A.","LoBiondo","NJ",2,"-","-","-","-",NA,NA,NA,NA,"R",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"frank a lobiondo","LoBiondo","Frank","NJ","N00000851","L000554",2,4000,250,9000,0,-2000,0,-2000,0,NA,NA,NA,NA,"frank lobiondo"
"Jon","Runyan","NJ",3,"-",NA,NA,NA,NA,NA,NA,NA,"R",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"jon runyan","Runyan","Jon","NJ","N00031988","R000594",3,9500,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"jon runyan"
"Christopher H.","Smith","NJ",4,"-","-","+","+","+",NA,NA,NA,"R",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"christopher h smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E. Scott","Garrett","NJ",5,"-","-",NA,NA,NA,NA,NA,NA,"R",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e scott garrett","Garrett","Scott","NJ","N00000743","G000548",5,19000,10400,12100,0,NA,NA,NA,NA,NA,NA,NA,NA,"scott garrett"
"Frank J.","Pallone","NJ",6,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"frank j pallone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leonard","Lance","NJ",7,"-","-","-","+",NA,NA,NA,NA,"R",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"leonard lance","Lance","Leonard","NJ","N00000898","L000567",7,6000,0,17575,0,28250,0,33000,0,NA,NA,NA,NA,"leonard lance"
"Donald M.","Payne","NJ",10,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"donald m payne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rodney P.","Frelinghuysen","NJ",11,"-","-","-","-",NA,NA,NA,NA,"R",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rodney p frelinghuysen","Frelinghuysen","Rodney","NJ","N00000684","F000372",11,29480,500,20677,100,6000,0,-9856,0,NA,NA,NA,NA,"rodney frelinghuysen"
"Rush D.","Holt","NJ",12,"+",NA,NA,NA,NA,NA,NA,NA,"D",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rush d holt","Holt","Rush","NJ","N00000860","H001032",12,5500,7950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rush holt"
"Michelle","Lujan Grisham","NM",1,"+","+","+","+",NA,NA,NA,NA,"D",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"michelle lujan grisham","Lujan Grisham","Michelle","NM","N00029400","L000580",1,9200,0,9500,3000,NA,NA,NA,NA,NA,NA,NA,NA,"michelle lujan grisham"
"Steve","Pearce","NM",2,"-",NA,"-","-",NA,NA,NA,NA,"R",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"steve pearce","Pearce","Stevan","NM","N00012672","P000588",2,92500,0,97406,0,2500,0,2500,0,NA,NA,NA,NA,"stevan pearce"
"Ben Ray","Luján","NM",3,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ben ray luj n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Timothy H.","Bishop","NY",1,"+",NA,NA,NA,NA,NA,NA,NA,"D",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"timothy h bishop","Bishop","Timothy","NY","N00025413","B001242",1,11398,5200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"timothy bishop"
"Peter T.","King","NY",2,"-","-","-","-","-",NA,NA,NA,"R",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"peter t king","King","Peter","NY","N00001193","K000210",2,2000,2000,6000,0,11400,0,15400,0,10511,0,NA,NA,"peter king"
"Steve J.","Israel","NY",3,"+","+",NA,NA,NA,NA,NA,NA,"D",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"steve j israel","Israel","Steve","NY","N00013345","I000057",3,7500,8950,-2000,0,NA,NA,NA,NA,NA,NA,NA,NA,"steve israel"
"Carolyn","McCarthy","NY",4,NA,NA,NA,NA,NA,NA,NA,NA,"D",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"carolyn mccarthy","McCarthy","Carolyn","NY","N00001148","M000309",4,3500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"carolyn mccarthy"
