party,state,amount.oil.113,amount.coal.113,amount.mining.113,amount.gas.113,amount.env.113,amount.alt_en.113,member.x,alias.x,name,amount.oil.114,amount.coal.114,amount.mining.114,amount.gas.114,amount.env.114,amount.alt_en.114,member.y,alias.y,amount.oil.115,amount.coal.115,amount.mining.115,amount.gas.115,amount.env.115,amount.alt_en.115,member.x.x,alias.x.x,amount.oil.116,amount.coal.116,amount.mining.116,amount.gas.116,amount.env.116,amount.alt_en.116,member.y.y,alias.y.y,first_name,last_name,member_id,amount.oil.117,amount.coal.117,amount.mining.117,amount.gas.117,amount.env.117,amount.alt_en.117,member,alias,rest_of_name
D,TX,66050,0,0,500,1250,4500,NA,NA,joaquin castro,43250,0,0,3000,4000,2900,NA,NA,25600,0,0,2500,2000,0,NA,NA,12890,0,0,0,4700,500,NA,NA,Joaquin,Castro,NA,788,0,0,40,123,440,NA,NA,NA
R,WV,65200,102636,177936,7500,0,0,NA,NA,shelley moore capito,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shelley Moore,Capito,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,VA,64800,88638,143938,6500,0,0,NA,NA,morgan griffith,56300,35400,42150,5000,0,0,NA,NA,38568,26100,32850,3500,0,0,NA,NA,36350,31300,33300,5500,0,250,NA,NA,Morgan,Griffith,NA,47303,15250,16750,10000,0,0,NA,NA,NA
R,KS,64700,0,0,4500,0,9750,NA,NA,tim huelskamp,73550,0,0,4250,0,5200,NA,NA,52400,0,0,1000,0,2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tim,Huelskamp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,KS,64700,3000,16000,2900,0,10500,NA,NA,kevin yoder,68700,1000,13400,2000,0,23900,NA,NA,49375,0,13800,2000,0,44800,NA,NA,95350,16900,27700,6000,0,51400,NA,NA,Kevin,Yoder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,TX,64500,0,0,19500,0,0,NA,NA,kenny marchant,56400,0,1000,8000,0,0,NA,NA,86450,0,0,15700,0,0,NA,NA,71650,1000,2000,16000,0,0,NA,NA,Kenny,Marchant,NA,9247,0,0,323,0,0,NA,NA,NA
R,TX,64500,0,9300,2500,0,0,NA,NA,michael mccaul,82050,1000,3600,19500,0,0,NA,NA,111150,0,2000,17100,0,0,NA,NA,126700,0,0,12200,0,1250,NA,NA,Michael,McCaul,NA,187041,0,3234,17032,0,1361,NA,NA,NA
R,WI,63100,2000,3350,4500,2250,0,NA,NA,paul ryan,309799,8650,22100,26850,6200,500,NA,NA,761678,58860,75290,81975,23920,26725,NA,NA,386943,14700,24515,66050,100,10600,NA,NA,Paul,Ryan,NA,-47300,-7700,-7700,-2300,0,-2700,NA,NA,NA
R,TX,62550,250,3650,4300,0,0,NA,NA,john carter,49600,0,0,6000,0,0,NA,NA,16700,0,0,0,0,0,NA,NA,62350,0,1000,5500,0,5400,NA,NA,John,Carter,NA,64728,67,94,7670,13,26,NA,NA,NA
D,TX,62350,0,0,1000,3200,1250,NA,NA,marc veasey,54400,0,0,4000,3500,500,NA,NA,71800,0,0,2000,1000,500,NA,NA,64006,0,0,3000,1000,0,NA,NA,Marc,Veasey,NA,144049,0,0,26500,500,100,NA,NA,NA
R,TN,62200,2000,4000,0,0,1000,NA,NA,steve fincher,34700,1000,2000,0,0,0,NA,NA,14000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Steve,Fincher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
