"","LastName","FirstName","Amount.oil","Amount.coal","Amount.mining","Amount.gas","Amount.env","Amount.alternative_en","Party","StateAbbreviation"
"205","Pitts","Joe",16000,0,0,3500,0,0,"R","PA"
"206","Rice","Tom",15750,0,0,0,0,0,"R","SC"
"207","Israel","Steve",15600,0,0,4000,4097,5400,"D","NY"
"208","Kennedy","Joe III",15600,0,0,2000,19750,2750,"D","MA"
"209","Posey","Bill",15600,0,0,0,0,0,"R","FL"
"210","Allen","Richard W",15500,0,0,0,0,0,"R","GA"
"211","Butterfield","G K",15500,0,0,3000,2500,2000,"D","NC"
"212","Jackson","Lee Sheila",15500,0,0,500,0,0,"D","TX"
"213","Rush","Bobby",15500,0,0,12000,4000,1000,"D","IL"
"214","Ryan","Tim",15500,0,0,4000,6400,0,"D","OH"
"215","Walz","Tim",15500,0,0,0,300,4500,"D","MN"
"216","Beutler","Jaime Herrera",15465,0,750,3100,0,0,"R","WA"
"217","Loudermilk","Barry",15250,0,0,1000,0,0,"R","GA"
"218","Labrador","Raul",14900,250,3750,5500,2000,0,"R","ID"
"219","Abraham","Ralph",14550,0,3200,6250,0,0,"R","LA"
"220","Matsui","Doris",14500,0,0,1000,6200,0,"D","CA"
"221","Dingell","Debbie",14200,0,0,4000,5027,250,"D","MI"
"222","Sanchez","Loretta",14200,0,0,1500,2754,100,"D","CA"
"223","Salmon","Matt",14150,0,7000,2500,0,0,"R","AZ"
"224","Bishop","Sanford",14000,3000,7000,0,0,1000,"D","GA"
"225","Fincher","Steve",14000,0,0,0,0,0,"R","TN"
"226","Massie","Thomas",14000,1000,1000,0,0,0,"R","KY"
"227","Sensenbrenner","Jim",14000,0,1500,0,0,0,"R","WI"
"228","Wilson","Joe",14000,0,0,0,0,2500,"R","SC"
"229","Smith","Adrian",13750,2500,2500,2500,0,16500,"R","NE"
"230","Carter","Buddy",13500,0,0,1000,0,0,"R","GA"
"231","Jones","Walter B Jr",13500,0,0,500,0,0,"R","NC"
"232","Ross","Dennis",13500,0,0,0,0,0,"R","FL"
"233","Clyburn","James E",13430,0,0,3000,1250,1500,"D","SC"
"234","Wittman","Rob",13250,0,0,0,2750,0,"R","VA"
"235","Meadows","Mark",12800,0,0,0,0,0,"R","NC"
"236","Jolly","David",12600,0,0,3500,0,1000,"R","FL"
"237","Duncan","John J Jr",12500,1500,1500,0,0,500,"R","TN"
"238","Hurt","Robert",12500,0,0,4500,0,0,"R","VA"
"239","Rogers","Mike D",12500,11000,11000,3000,0,0,"R","AL"
"240","Bustos","Cheri",12140,0,0,4000,16006,17205,"D","IL"
"241","Perlmutter","Ed",11950,0,5250,0,9250,1000,"D","CO"
"242","Grisham","Michelle Lujan",11750,0,5000,0,5500,2500,"D","NM"
"243","Engel","Eliot",11200,0,2700,0,1000,1000,"D","NY"
"244","Larson","John",11000,0,0,3000,2500,0,"D","CT"
"245","LoBiondo","Frank",11000,0,0,5500,4500,0,"R","NJ"
"246","Lowenthal","Alan",11000,0,1000,2000,7223,100,"D","CA"
"247","Sinema","Kyrsten",11000,0,7500,2750,0,4000,"D","AZ"
"248","Emmer","Tom",10950,0,1000,300,0,8000,"R","MN"
"249","Maloney","Carolyn",10805,0,0,5,2500,0,"D","NY"
"250","Doggett","Lloyd",10800,0,0,0,2750,3700,"D","TX"
"251","Hunter","Duncan D",10500,0,0,1000,0,0,"R","CA"
"252","Duckworth","Tammy",10478,10,40,1533,268458,26833,"D","IL"
"253","Moolenaar","John",10050,0,0,0,0,1000,"R","MI"
"254","Amodei","Mark",10000,0,38450,2000,0,0,"R","NV"
"255","DelBene","Suzan",10000,0,0,0,33957,0,"D","WA"
"256","Reichert","Dave",10000,0,250,4750,0,16500,"R","WA"
"257","Schweikert","David",10000,0,5250,0,0,0,"R","AZ"
"258","Higgins","Brian M",9850,0,0,8850,1000,3500,"D","NY"
"259","Hartzler","Vicky",9400,2000,2000,3000,0,0,"R","MO"
"260","Peters","Scott",9400,0,0,5900,27449,10050,"D","CA"
"261","Scott","David",9250,0,250,2000,0,0,"D","GA"
"262","Swalwell","Eric",9200,0,500,2000,9900,5900,"D","CA"
"263","Yoho","Ted",9150,0,0,3750,0,0,"R","FL"
"264","Graham","Gwen",9000,0,300,1000,7000,0,"D","FL"
"265","Ros-Lehtinen","Ileana",9000,0,0,0,1000,0,"R","FL"
"266","Ruiz","Raul",9000,280,280,3500,27078,6900,"D","CA"
"267","Sewell","Terri",8700,10000,10000,0,0,0,"D","AL"
"268","Rohrabacher","Dana",8650,0,0,0,0,0,"R","CA"
"269","Kaptur","Marcy",8500,0,2000,4000,1000,3000,"D","OH"
"270","Desjarlais","Scott",8400,800,800,0,0,0,"R","TN"
"271","King","Pete",8400,0,0,0,0,0,"R","NY"
"272","Keating","Bill",8250,0,0,3000,4000,0,"D","MA"
"273","Bonamici","Suzanne",8150,0,0,2750,9358,0,"D","OR"
"274","Desaulnier","Mark",8000,0,0,0,3750,0,"D","CA"
"275","Visclosky","Pete",8000,0,2000,2000,0,1000,"D","IN"
"276","Ellison","Keith",7663,0,0,0,17245,10,"D","MN"
"277","Sanchez","Linda",7575,0,0,75,5330,1500,"D","CA"
"278","Clark","Katherine",7503,0,0,1000,9575,1300,"D","MA"
"279","Kind","Ron",7500,0,0,1000,4775,2000,"D","WI"
"280","Maloney","Sean Patrick",7500,0,0,4000,9406,750,"D","NY"
"281","Polis","Jared",7500,0,0,0,10975,0,"D","CO"
"282","Thompson","Mike",7500,0,0,0,14000,9885,"D","CA"
"283","Loebsack","David",7250,0,2500,4500,13750,20000,"D","IA"
"284","Rigell","Scott",7200,0,0,1000,0,0,"R","VA"
"285","Brat","Dave",7000,0,0,2000,0,2250,"R","VA"
"286","Neal","Richard E",7000,0,0,3500,1000,0,"D","MA"
"287","Sanford","Mark",7000,0,0,1000,0,0,"R","SC"
"288","Walker","Mark",7000,0,0,0,0,0,"R","NC"
"289","Wenstrup","Brad",7000,5400,5400,1000,0,0,"R","OH"
"290","Gabbard","Tulsi",6800,0,0,0,5000,8195,"D","HI"
"291","Kirkpatrick","Ann",6720,0,7315,140,16397,813,"D","AZ"
"292","Lipinski","Daniel",6500,0,0,0,0,0,"D","IL"
"293","Torres","Norma",6500,0,0,3500,5200,0,"D","CA"
"294","Webster","Daniel",6300,0,600,0,0,0,"R","FL"
"295","Crawford","Rick",6250,0,0,3000,0,0,"R","AR"
"296","McGovern","James P",6010,0,0,0,9480,0,"D","MA"
"297","Becerra","Xavier",6000,0,0,2000,4200,3500,"D","CA"
"298","Diaz-Balart","Mario",6000,0,0,3500,1000,0,"R","FL"
"299","Gosar","Paul",6000,3000,23750,1000,250,250,"R","AZ"
"300","Luetkemeyer","Blaine",6000,6400,8400,3000,0,5500,"R","MO"
"301","Price","David",6000,0,0,1000,14029,0,"D","NC"
"302","Kilmer","Derek",5950,0,0,0,38079,250,"D","WA"
"303","Westmoreland","Lynn A",5750,0,0,0,0,0,"R","GA"
"304","Nadler","Jerrold",5650,0,0,0,7550,0,"D","NY"
"305","Beatty","Joyce",5550,0,0,1500,0,0,"D","OH"
"306","Buchanan","Vernon",5500,0,0,2000,500,0,"R","FL"
"307","DeFazio","Peter",5500,0,0,0,3112,0,"D","OR"
"308","Franks","Trent",5500,0,5000,3000,0,0,"R","AZ"
"309","Kelly","Robin",5500,0,0,0,2000,500,"D","IL"
"310","Moulton","Seth",5500,0,0,1000,13100,1000,"D","MA"
"311","Davidson","Warren",5416,0,1002,25,100,0,"R","OH"
"312","Honda","Mike",5400,0,600,0,30625,3143,"D","CA"
"313","Tonko","Paul",5400,0,0,4000,11957,7390,"D","NY"
"314","Rice","Kathleen",5200,0,0,0,13800,3700,"D","NY"
"315","Cummings","Elijah E",5000,0,0,0,5052,0,"D","MD"
"316","Hice","Jody",5000,0,3000,2000,2000,2600,"R","GA"
"317","Huffman","Jared",5000,120,120,5000,27849,1025,"D","CA"
"318","Kline","John",5000,0,0,0,0,0,"R","MN"
"319","Napolitano","Grace",5000,0,0,5000,2651,0,"D","CA"
"320","Rooney","Tom",5000,0,0,0,0,0,"R","FL"
"321","Sherman","Brad",5000,0,0,0,0,0,"D","CA"
"322","Waters","Maxine",5000,0,0,0,4700,0,"D","CA"
"323","Tsongas","Niki",4700,0,0,0,9058,2000,"D","MA"
"324","McNerney","Jerry",4500,0,0,2000,46457,18750,"D","CA"
"325","Roe","Phil",4500,300,300,0,0,0,"R","TN"
"326","Edwards","Donna",4456,0,0,1500,16200,4175,"D","MD"
"327","King","Steven A",4150,0,0,0,0,19050,"R","IA"
"328","Clay","William L Jr",4000,0,0,0,2000,0,"D","MO"
"329","Johnson","Eddie Bernice",4000,0,0,0,2500,0,"D","TX"
"330","Pocan","Mark",4000,0,0,2000,4100,2500,"D","WI"
"331","Trott","Dave",4000,0,0,0,0,0,"R","MI"
"332","Forbes","Randy",3950,0,0,1000,0,0,"R","VA"
"333","Blumenauer","Earl",3900,0,0,3650,10650,17200,"D","OR"
"334","Connolly","Gerry",3800,0,0,3750,4665,2000,"D","VA"
"335","Boyle","Brendan",3750,0,0,3000,6899,0,"D","PA"
"336","Esty","Elizabeth",3700,0,1600,3700,27659,1000,"D","CT"
"337","Lofgren","Zoe",3700,0,0,0,17100,6400,"D","CA"
"338","Quigley","Mike",3700,0,0,0,3900,0,"D","IL"
"339","Cooper","Jim",3500,0,0,1000,0,2700,"D","TN"
"340","Delaney","John K",3500,0,0,3500,11438,0,"D","MD"
"341","Deutch","Ted",3500,0,0,0,2500,0,"D","FL"
"342","Hanabusa","Colleen",3500,0,0,0,0,2000,"D","HI"
"343","Ruppersberger","Dutch",3500,0,0,2000,2752,2700,"D","MD"
"344","Sires","Albio",3500,0,0,2000,0,0,"D","NJ"
"345","Bera","Ami",3095,0,0,2745,44633,4815,"D","CA"
"346","Courtney","Joe",3000,0,0,2000,5550,0,"D","CT"
"347","Fitzpatrick","Michael G",3000,0,0,0,0,0,"R","PA"
"348","Gallego","Ruben",3000,0,0,1500,9960,11231,"D","AZ"
"349","Himes","Jim",3000,0,2600,3000,5209,25,"D","CT"
"350","Payne","Donald M Jr",3000,0,0,0,0,1000,"D","NJ"
"351","Scott","Austin",3000,0,3000,0,3885,0,"R","GA"
"352","Pascrell","Bill Jr",2750,0,0,1000,2000,7000,"D","NJ"
"353","Lee","Barbara",2700,0,0,0,17098,0,"D","CA"
"354","Neugebauer","Randy",2700,0,0,0,0,0,"R","TX"
"355","Carney","John",2500,0,0,0,0,0,"D","DE"
"356","Cartwright","Matt",2500,0,0,1000,13671,0,"D","PA"
"357","Hinojosa","Ruben",2500,0,0,1000,0,0,"D","TX"
"358","Lynch","Stephen",2500,0,0,0,0,4200,"D","MA"
"359","Meeks","Gregory",2500,0,0,0,0,0,"D","NY"
"360","Pelosi","Nancy",2393,0,0,905,19295,7233,"D","CA"
"361","Chabot","Steve",2100,0,0,1000,750,0,"R","OH"
"362","Sarbanes","John",2100,0,0,0,100,2700,"D","MD"
"363","Clarke","Yvette",2000,0,0,0,2000,0,"D","NY"
"364","Davis","Danny K",2000,0,0,0,1000,6000,"D","IL"
"365","Levin","Sander",2000,0,0,2000,4750,2000,"D","MI"
"366","Norton","Eleanor Holmes",2000,0,0,2000,0,0,"D","DC"
"367","Takai","Mark",2000,0,0,0,2584,4000,"D","HI"
"368","Nolan","Rick",1574,0,18941,1041,14667,3870,"D","MN"
"369","Grayson","Alan",1534,0,0,545,27895,234,"D","FL"
"370","Lewis","John",1500,0,0,0,2000,300,"D","GA"
"371","Meng","Grace",1500,0,0,0,1000,500,"D","NY"
"372","Carson","Andre",1250,0,0,0,0,1000,"D","IN"
"373","Brownley","Julia",1143,90,90,50,25623,1425,"D","CA"
"374","Aguilar","Pete",1103,0,0,1100,30846,755,"D","CA"
"375","Schultz","Debbie Wasserman",1050,0,0,0,22330,8400,"D","FL"
"376","Bass","Karen",1000,0,5000,0,8700,0,"D","CA"
"377","Cleaver","Emanuel",1000,0,0,0,2000,0,"D","MO"
"378","Coleman","Bonnie Watson",1000,0,0,0,2500,0,"D","NJ"
"379","Crenshaw","Ander",1000,0,0,0,0,0,"R","FL"
"380","Frankel","Lois",1000,0,5,0,3910,0,"D","FL"
"381","Garamendi","John",1000,0,0,1000,5327,6400,"D","CA"
"382","Heck","Dennis",1000,0,0,0,8250,3000,"D","WA"
"383","Jeffries","Hakeem",1000,0,0,0,2000,0,"D","NY"
"384","Miller","Jeff",1000,0,0,1000,2500,0,"R","FL"
"385","Pierluisi","Pedro",1000,0,0,1000,0,0,"D","PR"
"386","Plaskett","Stacey",1000,0,0,1000,0,0,"D","VI"
"387","Smith","Chris",1000,0,0,0,0,0,"R","NJ"
"388","Fortenberry","Jeff",500,0,0,0,6400,2000,"R","NE"
"389","Kildee","Dan",500,0,0,0,3573,1500,"D","MI"
"390","Langevin","Jim",500,0,0,0,2000,2000,"D","RI"
"391","O'Rourke","Beto",250,0,0,250,0,0,"D","TX"
"392","Yarmuth","John",250,0,0,0,1850,0,"D","KY"
"393","Lawrence","Brenda",100,0,0,0,4000,0,"D","MI"
"394","Nunnelee","Alan",100,0,0,0,0,0,"R","MS"
"395","Schakowsky","Jan",15,0,0,0,10750,4350,"D","IL"
"396","Kuster","Ann",5,0,0,0,42911,12965,"D","NH"
