LastName,FirstName,StateAbbreviation.x.114,Party.x.114,Amount.oil.114,Amount.coal.114,Amount.mining.114,Amount.gas.114,Amount.env.114,Amount.alt_en.114,Amount.oil.115,Amount.coal.115,Amount.mining.115,Amount.gas.115,Amount.env.115,Amount.alt_en.115,Amount.oil.116,Amount.coal.116,Amount.mining.116,Amount.gas.116,Amount.env.116,Amount.alt_en.116
Langevin,Jim,RI,D,800,0,0,0,1000,500,500,0,0,0,2000,0,900,0,0,0,2000,0
Larsen,Rick,WA,D,31000,0,0,9500,0,0,34500,0,0,14000,3000,15,27751,0,0,9000,1500,15
Larson,John,CT,D,8600,3000,3000,6100,2700,1000,11000,0,0,3000,2500,0,0,0,0,0,1000,0
Latta,Bob,OH,R,84000,0,2000,15000,1000,11700,78750,0,0,7500,0,3500,93825,2700,5700,6000,0,3500
Lawrence,Brenda,MI,D,1000,0,500,0,2500,0,100,0,0,0,4000,0,2500,0,500,2500,1010,0
Lee,Barbara,CA,D,5600,0,0,0,7750,0,2700,0,0,0,17098,185,3463,0,0,0,20655,185
Levin,Sander,MI,D,4500,0,2000,2000,3095,1000,2000,0,0,2000,4750,0,NA,NA,NA,NA,NA,NA
Lewis,John,MT,D,5850,250,250,0,16039,525,1500,0,0,0,2000,2633,NA,NA,NA,NA,NA,NA
Lewis,John,GA,D,5850,250,250,0,4500,525,1500,0,0,0,2000,2633,NA,NA,NA,NA,NA,NA
Lieu,Ted,CA,D,5500,0,0,5500,6350,8100,0,0,0,0,7950,25,400,0,0,150,11600,25
Lipinski,Daniel,IL,D,3500,0,0,0,0,0,6500,0,0,0,0,1000,27000,0,0,2500,0,1000
LoBiondo,Frank,NJ,R,14750,0,0,1000,8390,700,11000,0,0,5500,4500,0,NA,NA,NA,NA,NA,NA
Loebsack,David,IA,D,5750,0,0,3000,6500,9000,7250,0,2500,4500,13750,32301,8262,0,0,0,2750,32301
Lofgren,Zoe,CA,D,4000,0,0,0,2000,12400,3700,0,0,0,17100,21600,5000,0,0,0,9000,21600
Long,Billy,MO,R,44850,11500,13500,2000,0,0,45000,2500,6000,5500,0,3500,55000,2000,4000,8000,0,3500
Loudermilk,Barry,GA,R,10000,0,0,0,0,0,15250,0,0,1000,0,0,24000,0,500,1000,0,0
Love,Mia,UT,R,61700,1000,3000,5500,0,7481,68686,0,3000,3800,200,1195,NA,NA,NA,NA,NA,NA
Lowenthal,Alan,CA,D,10000,0,0,3000,9950,1000,11000,0,1000,2000,7223,0,7000,0,2500,0,5100,0
Lowey,Nita M,NY,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas,Frank D,OK,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luetkemeyer,Blaine,MO,R,7250,2500,2500,4000,0,9500,6000,6400,8400,3000,0,6000,11000,0,1750,2000,0,6000
Lujan,Ben Ray,NM,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lummis,Cynthia,WY,R,91050,22500,29750,9000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lynch,Stephen,MA,D,4000,0,700,1000,0,1000,2500,0,0,0,0,2500,1000,0,2500,0,0,2500
MacArthur,Thomas,NJ,R,5000,0,0,0,0,0,26600,0,0,15900,1500,0,NA,NA,NA,NA,NA,NA
Maloney,Carolyn,NY,D,12400,0,0,0,5850,1000,10805,0,0,5,2500,1500,11400,0,2000,0,3550,1500
Maloney,Sean Patrick,NY,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marchant,Kenny,TX,R,56400,0,1000,8000,0,0,86450,0,0,15700,0,0,71650,1000,2000,16000,0,0
Marino,Tom,PA,R,34000,500,500,8000,0,0,17750,2950,2950,4250,0,0,NA,NA,NA,NA,NA,NA
Massie,Thomas,KY,R,21500,6600,9600,0,0,0,14000,1000,1000,0,0,0,10200,1000,2000,0,0,0
Matsui,Doris,CA,D,13500,0,0,4000,2000,1000,14500,0,0,1000,6200,5000,17000,0,1000,3000,4537,5000
McCarthy,Kevin,CA,R,362000,1500,8000,58300,0,2000,355050,15700,30700,24800,1000,54150,484650,68600,184500,69300,5250,54150
McCaul,Michael,TX,R,82050,1000,3600,19500,0,0,111150,0,2000,17100,0,1250,126700,0,0,12200,0,1250
McClintock,Tom,CA,R,54450,0,6000,4000,0,2500,20900,0,0,4000,0,1000,14750,0,5500,2000,0,1000
McCollum,Betty,MN,D,0,0,0,0,1077,0,0,0,0,0,10000,261,1,0,0,0,6250,261
McDermott,Jim,WA,D,0,0,0,0,7250,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McGovern,James P,MA,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McHenry,Patrick,NC,R,34500,0,0,5500,0,0,69250,0,0,6500,0,20200,79000,0,0,10000,0,20200
McKinley,David,WV,R,84450,116850,193150,20250,0,0,80000,37700,70150,17000,0,0,85175,23000,30500,15000,0,0
McNerney,Jerry,CA,D,6500,0,0,2000,34000,21150,4500,0,0,2000,46457,12700,6900,0,0,3500,9950,12700
McSally,Martha,AZ,R,49200,6100,7600,1000,400,500,77161,0,13325,1500,125,0,NA,NA,NA,NA,NA,NA
Meadows,Mark,NC,R,6000,0,0,0,0,0,12800,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Meehan,Patrick,PA,R,64400,0,0,25600,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meeks,Gregory,NY,D,9100,0,0,2000,0,0,2500,0,0,0,0,0,2500,0,0,0,0,0
Meng,Grace,NY,D,0,0,0,0,0,1000,1500,0,0,0,1000,1200,5,0,0,0,1001,1200
Messer,Luke,IN,R,31500,3000,8550,0,0,3000,43400,0,31200,2000,0,0,NA,NA,NA,NA,NA,NA
Mica,John L,FL,R,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miller,Candice S,MI,R,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miller,Jeff,FL,R,3000,0,0,0,7600,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moolenaar,John,MI,R,29300,0,0,2000,0,1000,10050,0,0,0,0,0,12750,0,0,1000,0,0
Mooney,Alex,WV,R,38667,61780,113385,500,700,0,35200,20726,31126,9000,0,250,25850,15800,17800,4500,0,250
Moore,Gwen,WI,D,0,0,0,0,1000,0,0,0,0,0,2000,0,0,0,0,0,2000,0
Moulton,Seth,MA,D,9650,0,500,0,21800,250,5500,0,0,1000,13100,0,4100,0,0,4000,1300,0
Mullin,Markwayne,OK,R,148950,2500,6000,14600,0,0,227850,10000,11000,36800,0,1500,183350,2700,4700,36000,0,1500
Mulvaney,Mick,SC,R,23250,0,0,1750,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Murphy,Patrick,FL,D,11400,0,0,0,25910,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Murphy,Tim,PA,R,111000,38600,47900,43500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nadler,Jerrold,NY,D,5700,0,0,0,0,0,5650,0,0,0,7550,0,5400,0,0,0,1510,0
Napolitano,Grace,CA,D,6500,0,0,6500,2000,0,5000,0,0,5000,2651,2500,3500,0,0,3500,3000,2500
Neal,Richard E,MA,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neugebauer,Randy,TX,R,94900,0,2600,1000,0,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newhouse,Dan,WA,R,6800,0,0,1800,2250,0,30400,4000,8000,5150,0,0,20000,0,1000,1500,0,0
Noem,Kristi,SD,R,64550,2000,3000,9000,0,32050,77150,250,2750,0,500,0,NA,NA,NA,NA,NA,NA
Nolan,Rick,MN,D,500,1000,12800,0,10451,3000,1570,0,18941,1041,14667,5146,NA,NA,NA,NA,NA,NA
Norcross,Don,NJ,D,4500,0,0,1000,0,1000,21700,0,2700,7000,1000,0,26210,0,0,7500,500,0
Norton,Eleanor Holmes,DC,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nugent,Richard,FL,R,13950,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nunes,Devin,CA,R,70500,0,1000,6000,0,3600,73500,2000,3000,8500,0,1500,124552,2700,5300,5250,0,1500
O'Rourke,Beto,TX,D,19500,0,0,0,1000,0,250,0,0,250,0,0,NA,NA,NA,NA,NA,NA
Olson,Pete,TX,R,248000,1000,3600,35500,0,0,221200,1000,2000,49800,0,0,206328,0,6000,44500,0,0
Palazzo,Steven,MS,R,57850,0,0,4000,3600,0,41200,0,1000,3500,0,0,29450,0,1000,3000,0,0
Pallone,Frank Jr,NJ,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palmer,Gary,AL,R,21500,5000,5250,0,0,0,17300,13300,13300,0,0,0,17500,6000,6000,0,0,0
Pascrell,Bill Jr,NJ,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paulsen,Erik,MN,R,35250,0,0,0,6250,1000,61799,0,1000,3700,0,1000,NA,NA,NA,NA,NA,NA
Payne,Donald M Jr,NJ,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pearce,Steve,NM,R,342820,1000,27812,8600,0,0,271906,1000,25400,10000,0,0,NA,NA,NA,NA,NA,NA
Pelosi,Nancy,CA,D,250,0,0,0,25800,4000,2393,0,0,905,19295,19095,6233,0,75,1260,23626,19095
Perlmutter,Ed,CO,D,25900,0,5500,1000,13950,0,11950,0,5250,0,9250,0,8111,0,3000,0,1250,0
Perry,Scott,PA,R,28600,0,0,10500,0,0,35000,0,0,10500,0,0,46550,0,2000,4000,0,0
Peters,Scott,CA,D,6500,0,0,2500,50459,5000,9400,0,0,5900,27449,9038,31703,0,10000,15200,16392,9038
Peterson,Collin,MN,D,16500,4500,4500,0,0,21500,35575,1500,4500,0,0,10600,36501,1500,7500,1500,0,10600
Pierluisi,Pedro,PR,D,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pingree,Chellie,ME,D,250,0,0,0,9700,2000,0,0,0,0,7420,0,1000,0,0,1000,8262,0
Pittenger,Robert,NC,R,17500,250,2750,9500,0,0,18900,0,0,13900,0,0,NA,NA,NA,NA,NA,NA
Pitts,Joe,PA,R,57000,1500,3500,10500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plaskett,Stacey,VI,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocan,Mark,WI,D,6350,0,0,2000,2500,500,4000,0,0,2000,4100,500,3023,0,0,0,5903,500
Poe,Ted,TX,R,94200,0,0,21750,0,1000,75000,0,0,7400,0,5000,NA,NA,NA,NA,NA,NA
Poliquin,Bruce,ME,R,24650,4600,4600,0,0,3000,54100,0,100,3800,0,3793,NA,NA,NA,NA,NA,NA
Polis,Jared,CO,D,6200,0,0,0,18400,0,7500,0,0,0,10975,0,NA,NA,NA,NA,NA,NA
Pompeo,Mike,KS,R,376850,10500,14000,31500,0,11400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Posey,Bill,FL,R,28400,0,0,0,0,0,15600,0,0,0,0,0,11400,0,0,0,0,0
Price,David,NC,D,1000,0,0,0,4000,250,6000,0,0,1000,14029,0,2000,0,0,1000,6763,0
Price,Tom,GA,R,35250,0,3000,2000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quigley,Mike,IL,D,1500,0,0,0,5100,0,3700,0,0,0,3900,0,0,0,0,0,6525,0
Radewagen,Amata Coleman,AS,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rangel,Charles B,NY,D,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ratcliffe,John,TX,R,49950,0,0,0,0,0,40050,0,0,6400,0,0,NA,NA,NA,NA,NA,NA
Reed,Tom,NY,R,211200,1000,2555,39950,0,10250,121050,0,0,31900,0,40225,122475,0,500,21400,0,40225
Reichert,Dave,WA,R,8900,0,1500,5000,5000,7500,10000,0,250,4750,0,0,NA,NA,NA,NA,NA,NA
Renacci,Jim,OH,R,66199,0,-1250,8000,0,1000,53243,0,0,4500,1000,0,NA,NA,NA,NA,NA,NA
Ribble,Reid,WI,R,33800,0,0,3000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rice,Kathleen,NY,D,22600,0,0,1000,17550,7450,5200,0,0,0,13800,0,6408,0,0,0,501,0
Rice,Tom,SC,R,10500,1000,2000,2500,0,0,15750,0,0,0,0,2000,29950,0,250,0,0,2000
Richmond,Cedric,LA,D,50100,0,0,2000,4600,0,62500,0,0,5000,3700,0,79200,0,0,15000,1000,0
Rigell,Scott,VA,R,45000,1000,1555,4000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roby,Martha,AL,R,10500,3600,5600,3000,0,0,21950,7500,7500,2000,0,0,28100,2000,2000,2500,0,0
Rodgers McMorris,Cathy,WA,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roe,Phil,TN,R,3250,0,0,0,0,0,4500,300,300,0,0,0,2700,1000,1000,0,0,0
Rogers,Hal,KY,R,40100,46600,60600,0,8850,0,21800,21400,38400,0,0,0,40996,8000,12500,5000,0,0
Rogers,Mike D,AL,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rohrabacher,Dana,CA,R,14400,0,0,0,0,250,8650,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Rokita,Todd,IN,R,29500,22150,61600,0,0,0,26600,500,2500,0,0,0,NA,NA,NA,NA,NA,NA
Rooney,Tom,FL,R,11500,0,0,1000,0,0,5000,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Ros-Lehtinen,Ileana,FL,R,2000,0,0,0,5600,0,9000,0,0,0,1000,0,NA,NA,NA,NA,NA,NA
Roskam,Peter,IL,R,73550,1000,3000,17750,0,0,35350,0,0,5450,0,1500,NA,NA,NA,NA,NA,NA
Ross,Dennis,FL,R,34000,250,250,0,0,0,13500,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Rothfus,Keith J,PA,R,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Rouzer,David,NC,R,29100,0,0,1500,0,0,23740,0,0,2000,0,3500,37000,0,0,1000,0,3500
Roybal-Allard,Lucille,CA,D,1300,0,0,0,1000,0,0,0,0,0,3700,0,0,0,0,0,1200,0
Royce,Ed,CA,R,64900,0,6200,0,3500,0,49300,0,0,2500,1000,2500,NA,NA,NA,NA,NA,NA
Ruiz,Raul,CA,D,5000,0,0,3000,46387,11200,9000,280,280,3500,27078,11150,3626,0,0,0,13619,11150
Ruppersberger,Dutch,MD,D,4500,1000,1000,2000,0,7800,3500,0,0,2000,2752,0,500,0,0,0,0,0
Rush,Bobby,IL,D,8500,0,0,1000,2000,5000,15500,0,0,12000,4000,1000,13000,0,1000,5000,1000,1000
Russell,Steven,OK,R,89650,0,2600,4000,0,0,93250,0,5400,6500,0,0,NA,NA,NA,NA,NA,NA
Ryan,Paul,WI,R,309799,8650,22100,26850,6200,500,761678,58860,75290,81975,23920,10600,NA,NA,NA,NA,NA,NA
Ryan,Tim,OH,D,38000,0,1000,16500,7200,500,15500,0,0,4000,6400,322,13725,5400,7400,6200,5513,322
Salmon,Matt,AZ,R,15400,2000,16250,4500,0,13950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanchez,Linda,CA,D,4750,0,0,0,4500,0,7575,0,0,75,5330,2500,7000,0,0,2500,2503,2500
Sanchez,Loretta,CA,D,1500,0,0,0,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanford,Mark,SC,R,15350,0,0,0,0,4500,7000,0,0,1000,0,4200,NA,NA,NA,NA,NA,NA
Sarbanes,John,MD,D,3000,0,0,0,0,5000,2100,0,0,0,100,2700,1003,0,0,0,0,2700
Scalise,Steve,LA,R,217274,9500,16500,21100,7200,0,285300,6400,13900,26750,0,1435,383665,0,13225,22700,0,1435
Schakowsky,Jan,IL,D,0,0,0,0,9800,8500,15,0,0,0,10750,1500,171,0,0,0,2456,1500
Schiff,Adam,CA,D,0,0,0,0,3250,0,0,0,0,0,1250,3859,2638,0,100,525,16523,3859
Schrader,Kurt,OR,D,4250,1000,1000,2500,0,1000,55500,2000,2000,15000,2500,1000,75250,1000,3500,14250,500,1000
Schultz Wasserman,Debbie,FL,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schweikert,David,AZ,R,10000,1000,8750,0,0,0,10000,0,5250,0,0,5400,40950,0,6000,1500,0,5400
Scott,Austin,GA,R,5500,0,1750,2000,1000,0,3000,0,3000,0,3885,0,3500,0,500,0,0,0
Scott,Bobby,VA,D,1000,0,0,0,750,0,0,0,0,0,3200,0,0,0,0,0,1500,0
Scott,David,GA,D,2500,0,0,0,0,0,9250,0,250,2000,0,0,1000,0,0,0,0,0
Sensenbrenner,Jim,WI,R,6000,0,0,0,0,250,14000,0,1500,0,0,0,10500,0,0,0,0,0
Serrano,Jose E,NY,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,Pete,TX,R,159450,1000,3000,16300,0,0,139550,0,1000,27600,0,0,NA,NA,NA,NA,NA,NA
Sewell,Terri,AL,D,15000,14500,14500,0,0,0,8700,10000,10000,0,0,0,16750,2500,2500,1000,0,0
Sherman,Brad,CA,D,2000,0,0,0,0,0,5000,0,0,0,0,500,0,0,0,0,1000,500
Shimkus,John,IL,R,112300,16000,25000,18000,0,23250,180582,29200,40700,46000,0,24400,148250,14000,29000,30000,0,24400
Shuster,Bill,PA,R,205048,52315,105090,62100,0,1000,198512,25300,39350,64500,0,1000,NA,NA,NA,NA,NA,NA
Simpson,Mike,ID,R,92000,9000,46200,10500,14150,1250,46700,3700,12450,5000,7750,3200,47500,1000,13500,5000,3500,3200
Sinema,Kyrsten,AZ,D,2500,0,5000,2500,21497,1250,11000,0,7500,2750,0,0,NA,NA,NA,NA,NA,NA
Sires,Albio,NJ,D,5400,0,0,3000,500,0,3500,0,0,2000,0,2500,1000,0,0,1000,500,2500
Slaughter,Louise M,NY,D,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smith,Adam,WA,D,1500,0,0,0,3000,500,0,0,0,0,0,1700,0,0,0,0,4500,1700
Smith,Adrian,NE,R,15500,2000,4500,3000,0,4500,13750,2500,2500,2500,0,23000,19000,1500,1500,0,0,23000
Smith,Chris,NJ,R,500,0,0,0,0,0,1000,0,0,0,0,0,18956,0,0,0,0,0
Smith,Jason,MO,R,24400,13100,37665,0,0,5100,33300,2000,8750,1000,0,14000,40500,2000,5500,4000,0,14000
Smith,Lamar,TX,R,112350,1000,2000,0,0,0,108400,0,0,0,0,250,NA,NA,NA,NA,NA,NA
Speier,Jackie,CA,D,0,0,0,0,2000,2000,0,0,0,0,13800,0,0,0,0,0,2900,0
Stefanik,Elise,NY,R,39800,0,0,0,0,0,55675,0,0,5500,6650,13943,45500,0,0,5000,10850,13943
Stewart,Chris,UT,R,65350,2500,10000,8250,0,7800,95200,8256,13756,14400,0,0,85650,4200,7200,0,0,0
Stivers,Steve,OH,R,55600,17850,25050,5500,0,0,56350,15775,15775,12500,0,2000,96500,21000,70475,13000,0,2000
Stutzman,Marlin,IN,R,41100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Swalwell,Eric,CA,D,14300,0,0,1000,2000,8200,9200,0,500,2000,9900,3361,25558,0,0,3000,3965,3361
Takano,Mark,CA,D,0,0,0,0,3700,5200,0,0,0,0,6300,0,0,0,0,0,1604,0
Thompson,Bennie G,MS,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thompson,Glenn,PA,R,125330,17500,28250,31450,0,0,85550,9250,17250,22200,0,0,80100,9216,14916,15000,0,0
Thompson,Mike,CA,D,18250,0,1000,2000,5000,1500,7500,0,0,0,14000,8000,22000,0,0,1000,3025,8000
Thornberry,Mac,TX,R,101375,0,0,0,0,1750,82175,0,-1000,0,0,4000,48925,0,1000,0,0,4000
Tiberi,Pat,OH,R,90350,2500,7000,8500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tipton,Scott,CO,R,130739,16750,44300,6000,2000,1000,139100,22400,53400,6500,0,0,106350,8500,33149,11300,0,0
Titus,Dina,NV,D,6600,0,13000,0,2500,5500,0,0,13000,0,3060,0,2500,0,7500,2500,2033,0
Tonko,Paul,NY,D,4500,0,0,3500,4750,10800,5400,0,0,4000,11957,22290,24475,0,0,8000,4153,22290
Torres,Norma,CA,D,3000,0,0,0,2500,0,6500,0,0,3500,5200,2500,4000,0,0,6000,600,2500
Trott,Dave,MI,R,9500,0,0,2000,0,0,4000,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Tsongas,Niki,MA,D,0,0,0,0,5000,1000,4700,0,0,0,9058,0,NA,NA,NA,NA,NA,NA
Turner,Michael R,OH,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upton,Fred,MI,R,245800,24500,34000,55700,0,4500,229000,4000,8000,52600,0,0,151250,2500,7500,49300,0,0
Valadao,David,CA,R,81150,0,4000,3000,0,0,59750,0,3550,1000,0,1250,NA,NA,NA,NA,NA,NA
Van Hollen,Chris,MD,D,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vargas,Juan,CA,D,2500,0,0,0,1000,0,0,0,0,0,1000,3500,2000,0,0,0,500,3500
Veasey,Marc,TX,D,54400,0,0,4000,3500,500,71800,0,0,2000,1000,0,64006,0,0,3000,1000,0
Vela,Filemon,TX,D,31600,0,0,0,0,1000,35000,0,0,7000,0,1000,36006,0,0,7000,1000,1000
Velazquez,Nydia,NY,D,0,0,0,0,0,0,0,0,0,0,1000,2500,9,0,0,0,1500,2500
Visclosky,Pete,IN,D,7500,1700,1700,0,0,0,8000,0,2000,2000,0,2000,7051,0,2000,2000,0,2000
Wagner,Ann,MO,R,57500,40650,44150,2000,0,0,45500,12900,14900,6000,0,1000,27500,8000,13000,3000,0,1000
Walberg,Tim,MI,R,58750,13000,20000,1000,0,0,49450,12500,28500,1000,0,0,69400,1000,17500,4500,0,0
Walden,Greg,OR,R,112350,1000,4000,8500,329,4750,151900,3500,7500,18000,0,8400,290750,14000,37000,29800,0,8400
Walker,Mark,NC,R,4050,0,0,2000,0,0,7000,0,0,0,0,0,30200,0,0,0,0,0
Walorski,Jackie,IN,R,39840,5600,10600,0,0,9500,28500,2000,4000,0,0,7000,63450,5500,10500,4500,1000,7000
Walters,Mimi,CA,R,73550,0,0,7500,0,0,63250,0,100,5000,0,2000,NA,NA,NA,NA,NA,NA
Walz,Tim,MN,D,6500,0,0,0,6000,8500,15500,0,0,0,300,0,NA,NA,NA,NA,NA,NA
Waters,Maxine,CA,D,2500,10400,10400,0,1000,1000,5000,0,0,0,4700,0,4250,0,0,0,2375,0
Weber,Randy,TX,R,97800,0,0,14350,3600,0,66550,0,3700,5750,0,0,94550,0,8100,15850,0,0
Webster,Daniel,FL,R,13350,0,0,250,0,0,6300,0,600,0,0,0,3000,0,300,0,0,0
Welch,Peter,VT,D,27700,0,0,6500,10200,9950,20052,0,0,7000,4650,50,18000,0,0,3000,2451,50
Wenstrup,Brad,OH,R,21100,2600,3600,0,0,0,7000,5400,5400,1000,0,0,15700,10225,10225,1000,0,0
Westerman,Bruce,AR,R,65150,5200,5200,0,0,0,41200,1000,2000,3000,0,250,73400,1000,4000,2000,0,250
Westmoreland,Lynn A,GA,R,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitfield,Ed,KY,R,136500,31000,37000,23500,0,13000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williams,Roger,TX,R,209500,0,7200,7500,0,0,136250,0,0,0,0,0,95450,0,0,5400,0,0
Wilson,Frederica,FL,D,2500,0,0,0,1000,0,0,0,0,0,4566,0,0,0,0,0,1000,0
Wilson,Joe,SC,R,19000,0,0,2000,0,0,14000,0,0,0,0,2700,25300,0,0,1000,0,2700
Wittman,Rob,VA,R,9950,0,0,3000,8500,0,13250,0,0,0,2750,0,21615,0,0,8500,500,0
Womack,Steve,AR,R,13700,0,0,0,0,0,16500,0,0,3000,0,0,43650,0,0,1000,0,0
Woodall,Rob,GA,R,16750,0,0,5250,0,0,18500,0,0,2000,0,0,16500,0,500,2500,1000,0
Yarmuth,John,KY,D,0,0,0,0,4750,0,250,0,0,0,1850,0,0,0,0,0,0,0
Yoder,Kevin,KS,R,68700,1000,13400,2000,0,23900,49375,0,13800,2000,0,51400,NA,NA,NA,NA,NA,NA
Yoho,Ted,FL,R,7000,0,0,0,0,0,9150,0,0,3750,0,0,4500,0,0,3000,0,0
Young,David,IA,R,20750,0,0,7000,0,10100,25000,0,0,2500,0,54750,NA,NA,NA,NA,NA,NA
Young,Don,AK,R,43450,2000,11600,0,2000,0,59700,2000,20000,0,1500,0,56250,2000,18450,2000,0,0
Young,Todd,IN,R,37950,14050,22750,8050,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zeldin,Lee,NY,R,47150,0,0,1000,0,0,65663,0,0,7250,0,1125,52775,2500,2500,4000,0,1125
Zinke,Ryan,MT,R,217395,8250,14850,1000,0,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arrington,Jodey,TX,R,NA,NA,NA,NA,NA,NA,84925,0,500,4000,1000,24200,70750,0,0,1500,0,24200
Bacon,Donald John,NE,R,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
Balderson,Troy,OH,R,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2700,127598,10200,12200,5500,0,2700
Banks,Jim,IN,R,NA,NA,NA,NA,NA,NA,28035,0,2000,500,57650,0,15000,0,1000,0,0,0
Barragan,Nanette,CA,D,NA,NA,NA,NA,NA,NA,336,0,2,142,40486,2500,6015,0,0,4015,19757,2500
Bergman,John,MI,R,NA,NA,NA,NA,NA,NA,33600,0,4000,0,0,0,37345,0,10000,0,350,0
Biggs,Andy,AZ,R,NA,NA,NA,NA,NA,NA,8000,0,5000,1000,0,0,17000,0,7500,3000,0,0
Brown,Anthony,MD,D,NA,NA,NA,NA,NA,NA,4500,0,0,1000,3275,5000,9000,0,0,2000,3250,5000
Budd,Ted,NC,R,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,37700,0,2000,0,0,0
Carbajal,Salud,CA,D,NA,NA,NA,NA,NA,NA,5675,0,250,0,40137,6000,2950,0,0,0,27701,6000
Cheney,Liz,WY,R,NA,NA,NA,NA,NA,NA,124775,9000,12000,2500,0,0,93700,16000,24500,3000,0,0
Cloud,Michael,TX,R,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,23200,0,0,2000,0,0
Comer,James,KY,R,NA,NA,NA,NA,NA,NA,13350,21251,23251,0,0,11000,11250,2000,3000,1000,0,11000
Correa,Lou,CA,D,NA,NA,NA,NA,NA,NA,19500,0,0,0,250,100,39500,0,0,4500,1500,100
Crist,Charlie,FL,D,NA,NA,NA,NA,NA,NA,13500,0,0,0,24201,0,28505,0,0,0,16881,0
