member_id,first_name,last_name,party,state,name.x,member,alias,name.y
NA,Michael,Turner,R,OH,michael turner,NA,NA,NA
NA,Michael,McCaul,R,TX,michael mccaul,NA,NA,NA
NA,Michele,Bachmann,R,MN,michele bachmann,NA,NA,NA
NA,Michelle,Lujan Grisham,D,NM,michelle lujan grisham,NA,NA,NA
NA,Mick,Mulvaney,R,SC,mick mulvaney,NA,NA,NA
NA,Mike,Coffman,R,CO,mike coffman,NA,NA,NA
NA,Mike,Kelly,R,PA,mike kelly,NA,NA,NA
NA,Mike,McIntyre,D,NC,mike mcintyre,NA,NA,NA
NA,Mike,Pompeo,R,KS,mike pompeo,NA,NA,NA
NA,Mike,Quigley,D,IL,mike quigley,NA,NA,NA
NA,Mike,Rogers,R,MI,mike rogers,NA,NA,NA
NA,Mike,Rogers,R,AL,mike rogers,NA,NA,NA
NA,Mike,Thompson,D,CA,mike thompson,NA,NA,NA
NA,Mo,Brooks,R,AL,mo brooks,NA,NA,NA
NA,Nancy,Pelosi,D,CA,nancy pelosi,NA,NA,NA
NA,Nick,Rahall,D,WV,nick rahall,NA,NA,NA
NA,Niki,Tsongas,D,MA,niki tsongas,NA,NA,NA
NA,Nita,Lowey,D,NY,nita lowey,NA,NA,NA
NA,Nydia,Velázquez,D,NY,nydia vel zquez,NA,NA,NA
NA,Patrick,Tiberi,R,OH,patrick tiberi,NA,NA,NA
NA,Patrick,Meehan,R,PA,patrick meehan,NA,NA,NA
NA,Patrick,Murphy,D,FL,patrick murphy,NA,NA,NA
NA,Patrick,McHenry,R,NC,patrick mchenry,NA,NA,NA
NA,Paul,Gosar,R,AZ,paul gosar,NA,NA,NA
NA,Paul,Broun,R,GA,paul broun,NA,NA,NA
NA,Paul,Cook,R,CA,paul cook,NA,NA,NA
NA,Paul,Ryan,R,WI,paul ryan,NA,NA,NA
NA,Paul,Tonko,D,NY,paul tonko,NA,NA,NA
NA,Pedro,Pierluisi,D,PR,pedro pierluisi,NA,NA,NA
