"","LastName","FirstName","StateAbbreviation.x","Party.x","State","Amount.oil","Amount.coal","Amount.mining","Amount.gas","Amount.env","Amount.alt_en"
"137","Fincher","Steve","TN","R","Tennessee",34700,1000,2000,0,0,0
"138","Schock","Aaron","IL","R","Illinois",34700,2000,4000,9500,0,11000
"139","McHenry","Patrick","NC","R","North Carolina",34500,0,0,5500,0,0
"140","Marino","Tom","PA","R","Pennsylvania",34000,500,500,8000,0,0
"141","Ross","Dennis","FL","R","Florida",34000,250,250,0,0,0
"142","Ribble","Reid","WI","R","Wisconsin",33800,0,0,3000,0,0
"143","Mica","John L","FL","R","Florida",33500,0,3000,8000,0,0
"144","Barletta","Lou","PA","R","Pennsylvania",33020,750,1750,4500,0,0
"145","Bilirakis","Gus","FL","R","Florida",32500,1000,1000,1000,0,0
"146","Rogers","Mike","MI","R","Michigan",32200,1000,1000,3500,0,0
"147","Broun","Paul","GA","R","Georgia",32100,1500,6100,15600,0,850
"148","Israel","Steve","NY","D","New York",31900,0,0,8000,11500,22700
"149","Vela","Filemon","TX","D","Texas",31600,0,0,0,0,1000
"150","Lujan","Ben Ray","NM","D","New Mexico",31500,3000,9000,5000,5430,0
"151","Messer","Luke","IN","R","Indiana",31500,3000,8550,0,0,3000
"152","Capuano","Michael E","MA","D","Massachusetts",31250,0,0,11400,0,0
"153","Larsen","Rick","WA","D","Washington",31000,0,0,9500,0,0
"154","Gibson","Chris","NY","R","New York",30950,0,0,7000,13200,11500
"155","Lance","Leonard","NJ","R","New Jersey",30500,0,0,9500,1000,0
"156","Miller","Candice S","MI","R","Michigan",30500,0,0,4000,0,13500
"157","Jolly","David","FL","R","Florida",30400,0,0,0,1250,0
"158","Rahall","Nick","WV","D","West Virginia",29600,4800,10800,15600,250,0
"159","Rokita","Todd","IN","R","Indiana",29500,22150,61600,0,0,0
"160","Doyle","Mike","PA","D","Pennsylvania",29000,5500,11000,13500,0,0
"161","Perry","Scott","PA","R","Pennsylvania",28600,0,0,10500,0,0
"162","Posey","Bill","FL","R","Florida",28400,0,0,0,0,0
"163","Kline","John","MN","R","Minnesota",28300,48050,83000,1000,0,0
"164","Amash","Justin","MI","R","Michigan",28000,0,0,0,0,0
"165","Welch","Peter","VT","D","Vermont",27700,0,0,6500,10200,9950
"166","Fitzpatrick","Michael G","PA","R","Pennsylvania",26700,2000,2000,6000,8600,4000
"167","Perlmutter","Ed","CO","D","Colorado",25900,0,5500,1000,13950,0
"168","Foxx","Virginia","NC","R","North Carolina",25050,3000,3000,5000,0,0
"169","Brat","Dave","VA","R","Virginia",24500,0,500,0,0,1000
"170","Smith","Jason","MO","R","Missouri",24400,13100,37665,0,0,5100
"171","Fleischmann","Chuck","TN","R","Tennessee",23400,2000,5000,4000,0,0
"172","Jordan","Jim","OH","R","Ohio",23400,3000,6000,4000,0,0
"173","Mulvaney","Mick","SC","R","South Carolina",23250,0,0,1750,0,1000
"174","Graves","Tom","GA","R","Georgia",23200,0,9550,1000,0,0
"175","Beutler","Jaime Herrera","WA","R","Washington",23100,0,1250,2000,4750,666
"176","Turner","Michael R","OH","R","Ohio",23000,0,0,6000,0,0
"177","DeSantis","Ron","FL","R","Florida",22000,0,0,0,0,0
"178","Gerlach","Jim","PA","R","Pennsylvania",21500,1000,1000,5000,0,2500
"179","Massie","Thomas","KY","R","Kentucky",21500,6600,9600,0,0,0
