Surname, Name
McCotter, Thaddeus G (Michigan Republican, District 11)
McDermott, Jim (Washington Democrat, District 7)
McGovern, James P (Massachusetts Democrat, District 3)
McHenry, Patrick (North Carolina Republican, District 10)
McIntyre, Mike (North Carolina Democrat, District 7)
McKeon, Buck (California Republican, District 25)
McMahon, Michael E (New York Democrat, District 13)
McNerney, Jerry (California Democrat, District 11)
Meek, Kendrick B (Florida Democrat, District 17)
Meeks, Gregory (New York Democrat, District 6)
Melancon, Charles (Louisiana Democrat, District 3)
Menendez, Robert (New Jersey Democrat, Senate)
Merkley, Jeff (Oregon Democrat, Senate)
Mica, John L (Florida Republican, District 7)
Michaud, Mike (Maine Democrat, District 2)
Mikulski, Barbara A (Maryland Democrat, Senate)
Miller, Brad (North Carolina Democrat, District 13)
Miller, Candice S (Michigan Republican, District 10)
Miller, Gary (California Republican, District 42)
Miller, George (California Democrat, District 7)
Miller, Jeff (Florida Republican, District 1)
Minnick, Walt (Idaho Democrat, District 1)
Mitchell, Harry (Arizona Democrat, District 5)
Mollohan, Alan B (West Virginia Democrat, District 1)
Moore, Dennis (Kansas Democrat, District 3)
Moore, Gwen (Wisconsin Democrat, District 4)
Moran, Jerry (Kansas Republican, District 1)
Moran, Jim (Virginia Democrat, District 8)
Murkowski, Lisa (Alaska Independent, Senate)
Murphy, Christopher S (Connecticut Democrat, District 5)
Murphy, Patrick J (Pennsylvania Democrat, District 8)
Murphy, Scott (New York Democrat, District 20)
Murphy, Tim (Pennsylvania Republican, District 18)
Murray, Patty (Washington Democrat, Senate)
Myrick, Sue (North Carolina Republican, District 9)

N

Nadler, Jerrold (New York Democrat, District 8)
Napolitano, Grace (California Democrat, District 38)
Neal, Richard E (Massachusetts Democrat, District 2)
Nelson, Ben (Nebraska Democrat, Senate)
Nelson, Bill (Florida Democrat, Senate)
Neugebauer, Randy (Texas Republican, District 19)
Norton, Eleanor Holmes (District of Columbia Democrat, At Large)
Nunes, Devin (California Republican, District 21)
Nye, Glenn (Virginia Democrat, District 2)

O

Oberstar, James L (Minnesota Democrat, District 8)
Obey, David R (Wisconsin Democrat, District 7)
Olson, Pete (Texas Republican, District 22)
Olver, John W (Massachusetts Democrat, District 1)
Ortiz, Solomon P (Texas Democrat, District 27)
Owens, Bill (New York Democrat, District 23)

P

Pallone, Frank Jr (New Jersey Democrat, District 6)
Pascrell, Bill Jr (New Jersey Democrat, District 8)
Pastor, Ed (Arizona Democrat, District 4)
Paul, Ron (Texas Republican, District 14)
Paulsen, Erik (Minnesota Republican, District 3)
Payne, Donald M (New Jersey Democrat, District 10)
Pelosi, Nancy (California Democrat, District 8)
Pence, Mike (Indiana Republican, District 6)
Perlmutter, Ed (Colorado Democrat, District 7)
Perriello, Tom (Virginia Democrat, District 5)
Peters, Gary (Michigan Democrat, District 9)
Peterson, Collin (Minnesota Democrat, District 7)
Petri, Tom (Wisconsin Republican, District 6)
Pierluisi, Pedro (Puerto Rico Third Party, At Large)
Pingree, Chellie (Maine Democrat, District 1)
Pitts, Joe (Pennsylvania Republican, District 16)
Platts, Todd (Pennsylvania Republican, District 19)
Poe, Ted (Texas Republican, District 2)
Polis, Jared (Colorado Democrat, District 2)
Pomeroy, Earl (North Dakota Democrat, District 1)
Posey, Bill (Florida Republican, District 15)
Price, David (North Carolina Democrat, District 4)
Price, Tom (Georgia Republican, District 6)
Pryor, Mark (Arkansas Democrat, Senate)
Putnam, Adam H (Florida Republican, District 12)

Q

Quigley, Mike (Illinois Democrat, District 5)

R

Radanovich, George (California Republican, District 19)
Rahall, Nick (West Virginia Democrat, District 3)
Rangel, Charles B (New York Democrat, District 15)
Reed, Jack (Rhode Island Democrat, Senate)
Reed, Tom (New York Republican, District 29)
Rehberg, Denny (Montana Republican, District 1)
Reichert, Dave (Washington Republican, District 8)
Reid, Harry (Nevada Democrat, Senate)
Reyes, Silvestre (Texas Democrat, District 16)
Richardson, Laura (California Democrat, District 37)
Risch, James E (Idaho Republican, Senate)
Roberts, Pat (Kansas Republican, Senate)
Rockefeller, Jay (West Virginia Democrat, Senate)
Rodgers, Cathy McMorris (Washington Republican, District 5)
Rodriguez, Ciro D (Texas Democrat, District 23)
Roe, Phil (Tennessee Republican, District 1)
Rogers, Hal (Kentucky Republican, District 5)
Rogers, Mike (Michigan Republican, District 8)
Rogers, Mike D (Alabama Republican, District 3)
Rohrabacher, Dana (California Republican, District 46)
Rooney, Tom (Florida Republican, District 16)
Ros-Lehtinen, Ileana (Florida Republican, District 18)
Roskam, Peter (Illinois Republican, District 6)
Ross, Mike (Arkansas Democrat, District 4)
Rothman, Steven R (New Jersey Democrat, District 9)
Roybal-Allard, Lucille (California Democrat, District 34)
Royce, Ed (California Republican, District 40)
Ruppersberger, Dutch (Maryland Democrat, District 2)
Rush, Bobby (Illinois Democrat, District 1)
Ryan, Paul (Wisconsin Republican, District 1)
Ryan, Tim (Ohio Democrat, District 17)

S

Salazar, John (Colorado Democrat, District 3)
Sanchez, Linda (California Democrat, District 39)
Sanchez, Loretta (California Democrat, District 47)
Sanders, Bernie (Vermont Independent, Senate)
Sarbanes, John (Maryland Democrat, District 3)
Scalise, Steve (Louisiana Republican, District 1)
Schakowsky, Jan (Illinois Democrat, District 9)
Schauer, Mark (Michigan Democrat, District 7)
Schiff, Adam (California Democrat, District 29)
Schmidt, Jean (Ohio Republican, District 2)
Schock, Aaron (Illinois Republican, District 18)
Schrader, Kurt (Oregon Democrat, District 5)
Schultz, Debbie Wasserman (Florida Democrat, District 20)
Schumer, Charles E (New York Democrat, Senate)
Schwartz, Allyson (Pennsylvania Democrat, District 13)
Scott, Bobby (Virginia Democrat, District 3)
Scott, David (Georgia Democrat, District 13)
Sensenbrenner, Jim (Wisconsin Republican, District 5)
Serrano, Jose E (New York Democrat, District 16)
Sessions, Jeff (Alabama Republican, Senate)
Sessions, Pete (Texas Republican, District 32)
Sestak, Joe (Pennsylvania Democrat, District 7)
Shadegg, John (Arizona Republican, District 3)
Shaheen, Jeanne (New Hampshire Democrat, Senate)
Shea-Porter, Carol (New Hampshire Democrat, District 1)
Shelby, Richard C (Alabama Republican, Senate)
Sherman, Brad (California Democrat, District 27)
Shimkus, John (Illinois Republican, District 19)
Shuler, Heath (North Carolina Democrat, District 11)
Shuster, Bill (Pennsylvania Republican, District 9)
Simpson, Mike (Idaho Republican, District 2)
Sires, Albio (New Jersey Democrat, District 13)
Skelton, Ike (Missouri Democrat, District 4)
Slaughter, Louise M (New York Democrat, District 28)
Smith, Adam (Washington Democrat, District 9)
Smith, Adrian (Nebraska Republican, District 3)
Smith, Chris (New Jersey Republican, District 4)
Smith, Lamar (Texas Republican, District 21)
Snowe, Olympia (Maine Republican, Senate)
Snyder, Vic (Arkansas Democrat, District 2)
Space, Zack (Ohio Democrat, District 18)
Specter, Arlen (Pennsylvania Democrat, Senate)
Speier, Jackie (California Democrat, District 12)
Spratt, John M Jr (South Carolina Democrat, District 5)
Stabenow, Debbie (Michigan Democrat, Senate)
Stark, Pete (California Democrat, District 13)
Stearns, Cliff (Florida Republican, District 6)
Stupak, Bart (Michigan Democrat, District 1)
Stutzman, Marlin (Indiana Republican, District 3)
Sullivan, John (Oklahoma Republican, District 1)
